,COUNTY,STATE,ABBREVIATION,CITY,AIRPORT CODE
0,autauga,alabama,al,prattville,KMXF
1,baldwin,alabama,al,bay-minette,KBFM
2,barbour,alabama,al,clayton,KEUF
3,bibb,alabama,al,centreville,KEET
4,blount,alabama,al,oneonta,KGAD
5,bullock,alabama,al,union-springs,KTOI
6,butler,alabama,al,greenville,KPRN
7,calhoun,alabama,al,anniston,KANB
8,chambers,alabama,al,lafayette,KLGC
9,cherokee,alabama,al,centre,K4A9
10,chilton,alabama,al,clanton,KEET
11,choctaw,alabama,al,butler,KMEI
12,clarke,alabama,al,grove-hill,KGZH
13,clay,alabama,al,ashland,KANB
14,cleburne,alabama,al,heflin,KANB
15,coffee,alabama,al,,
16,colbert,alabama,al,tuscumbia,KMSL
17,conecuh,alabama,al,evergreen,KGZH
18,coosa,alabama,al,rockford,KALX
19,covington,alabama,al,andalusia,K79J
20,crenshaw,alabama,al,luverne,KTOI
21,cullman,alabama,al,cullman,KCMD
22,dale,alabama,al,ozark,KHEY
23,dallas,alabama,al,selma,
24,dekalb,alabama,al,fort-payne,K4A9
25,elmore,alabama,al,wetumpka,KMXF
26,escambia,alabama,al,brewton,KGZH
27,etowah,alabama,al,gadsden,KGAD
28,fayette,alabama,al,fayette,KJFX
29,franklin,alabama,al,russellville,K1M4
30,geneva,alabama,al,geneva,KOZR
31,greene,alabama,al,eutaw,KTCL
32,hale,alabama,al,greensboro,KTCL
33,henry,alabama,al,abbeville,KDHN
34,houston,alabama,al,dothan,KDHN
35,jackson,alabama,al,scottsboro,K4A6
36,jefferson,alabama,al,birmingham,KBHM
37,lamar,alabama,al,vernon,KCBM
38,lauderdale,alabama,al,florence,KMSL
39,lawrence,alabama,al,moulton,K1M4
40,lee,alabama,al,opelika,KCSG
41,limestone,alabama,al,athens,KDCU
42,lowndes,alabama,al,hayneville,KMGM
43,macon,alabama,al,tuskegee,KALX
44,madison,alabama,al,huntsville,KHUA
45,marengo,alabama,al,linden,KNMM
46,marion,alabama,al,hamilton,K1M4
47,marshall,alabama,al,guntersville,K8A0
48,mobile,alabama,al,mobile,KBFM
49,monroe,alabama,al,monroeville,KGZH
50,montgomery,alabama,al,montgomery,KMXF
51,morgan,alabama,al,decatur,KDCU
52,perry,alabama,al,marion,KTCL
53,pickens,alabama,al,carrollton,KTCL
54,pike,alabama,al,troy,KTOI
55,randolph,alabama,al,wedowee,KCTJ
56,russell,alabama,al,phenix-city,KCSG
57,st. clair,alabama,al,ashville,KGAD
58,shelby,alabama,al,columbiana,KEET
59,sumter,alabama,al,livingston,KNMM
60,talladega,alabama,al,talladega,KANB
61,tallapoosa,alabama,al,dadeville,KALX
62,tuscaloosa,alabama,al,tuscaloosa,KTCL
63,walker,alabama,al,jasper,KJFX
64,washington,alabama,al,chatom,KMOB
65,wilcox,alabama,al,camden,KPRN
66,winston,alabama,al,double-springs,K1M4
67,aleutians east borough,alaska,ak,,
68,municipality of anchorage,alaska,ak,,
69,bristol bay borough,alaska,ak,naknek,PAKN
70,denali borough,alaska,ak,healy,PAIN
71,fairbanks north star borough,alaska,ak,fairbanks,PAFB
72,city and borough of haines,alaska,ak,,
73,city and borough of juneau,alaska,ak,,
74,kenai peninsula borough,alaska,ak,,
75,ketchikan gateway borough,alaska,ak,ketchikan,PAKT
76,kodiak island borough,alaska,ak,kodiak,PADQ
77,lake and peninsula borough,alaska,ak,king-salmon,PAKN
78,matanuska-susitna borough,alaska,ak,palmer,PAAQ
79,north slope borough,alaska,ak,,
80,northwest arctic borough,alaska,ak,kotzebue,PFNO
81,petersburg borough,alaska,ak,,
82,city and borough of sitka,alaska,ak,,
83,municipality of skagway borough,alaska,ak,,
84,city and borough of wrangell,alaska,ak,,
85,city and borough of yakutat,alaska,ak,,
86,unorganized borough,alaska,ak,,
87,aleutians west census area,alaska,ak,,
88,bethel census area,alaska,ak,,
89,dillingham census area,alaska,ak,,
90,hoonah-angoon census area,alaska,ak,,
91,kusilvak census area,alaska,ak,,
92,nome census area,alaska,ak,,
93,prince of wales-hyder census area,alaska,ak,,
94,southeast fairbanks census area,alaska,ak,,
95,valdez-cordova census area,alaska,ak,,
96,yukon-koyukuk census area,alaska,ak,,
97,apache,arizona,az,,
98,cochise,arizona,az,bisbee,KDUG
99,coconino,arizona,az,flagstaff,KFLG
100,gila,arizona,az,globe,KP08
101,graham,arizona,az,safford,KSAD
102,greenlee,arizona,az,clifton,KSAD
103,la paz,arizona,az,parker,KBLH
104,maricopa,arizona,az,phoenix,KPHX
105,mohave,arizona,az,kingman,KIGM
106,navajo,arizona,az,holbrook,KINW
107,pima,arizona,az,,
108,pinal,arizona,az,florence,KIWA
109,santa cruz,arizona,az,nogales,KOLS
110,yavapai,arizona,az,prescott,KPRC
111,yuma,arizona,az,yuma,KNYL
112,arkansas,arkansas,ar,stuttgart,KSGT
113,ashley,arkansas,ar,hamburg,KLLQ
114,baxter,arkansas,ar,mountain-home,KBPK
115,benton,arkansas,ar,bentonville,KVBT
116,boone,arkansas,ar,harrison,KBBG
117,bradley,arkansas,ar,,
118,calhoun,arkansas,ar,hampton,KCDH
119,carroll,arkansas,ar,berryville,
120,chicot,arkansas,ar,lake-village,KGLH
121,clark,arkansas,ar,arkadelphia,KADF
122,clay,arkansas,ar,corning,K4M9
123,cleburne,arkansas,ar,heber-springs,KCCA
124,cleveland,arkansas,ar,rison,KPBF
125,columbia,arkansas,ar,magnolia,KELD
126,conway,arkansas,ar,morrilton,KRUE
127,craighead,arkansas,ar,,
128,crawford,arkansas,ar,van-buren,KFSM
129,crittenden,arkansas,ar,marion,KAWM
130,cross,arkansas,ar,,
131,dallas,arkansas,ar,fordyce,KCDH
132,desha,arkansas,ar,arkansas-city,KGLH
133,drew,arkansas,ar,monticello,KLLQ
134,faulkner,arkansas,ar,conway,KLRF
135,franklin,arkansas,ar,ozark,KFSM
136,fulton,arkansas,ar,salem,KUNO
137,garland,arkansas,ar,hot-springs,LYPG
138,grant,arkansas,ar,sheridan,KPBF
139,greene,arkansas,ar,paragould,KJBR
140,hempstead,arkansas,ar,hope,KTXK
141,hot spring,arkansas,ar,malvern,KHOT
142,howard,arkansas,ar,nashville,KDEQ
143,independence,arkansas,ar,batesville,
144,izard,arkansas,ar,melbourne,KBVX
145,jackson,arkansas,ar,newport,KM19
146,jefferson,arkansas,ar,pine-bluff,KPBF
147,johnson,arkansas,ar,clarksville,KRUE
148,lafayette,arkansas,ar,lewisville,KTXK
149,lawrence,arkansas,ar,walnut-ridge,KARG
150,lee,arkansas,ar,marianna,KAWM
151,lincoln,arkansas,ar,star-city,KPBF
152,little river,arkansas,ar,ashdown,KTXK
153,logan,arkansas,ar,paris,KRUE
154,lonoke,arkansas,ar,lonoke,KLRF
155,madison,arkansas,ar,huntsville,KASG
156,marion,arkansas,ar,yellville,KFLP
157,miller,arkansas,ar,texarkana,KTXK
158,mississippi,arkansas,ar,blytheville,KBYH
159,monroe,arkansas,ar,clarendon,KSGT
160,montgomery,arkansas,ar,mount-ida,KMWT
161,nevada,arkansas,ar,prescott,KADF
162,newton,arkansas,ar,jasper,KBBG
163,ouachita,arkansas,ar,camden,KCDH
164,perry,arkansas,ar,perryville,KRUE
165,phillips,arkansas,ar,helena-west-helena,
166,pike,arkansas,ar,murfreesboro,
167,poinsett,arkansas,ar,harrisburg,KJBR
168,polk,arkansas,ar,mena,KMEZ
169,pope,arkansas,ar,russellville,KRUE
170,prairie,arkansas,ar,des-arc,KSRC
171,pulaski,arkansas,ar,little-rock,KLIT
172,randolph,arkansas,ar,pocahontas,KARG
173,st. francis,arkansas,ar,forrest-city,KAWM
174,saline,arkansas,ar,benton,KLIT
175,scott,arkansas,ar,waldron,KMEZ
176,searcy,arkansas,ar,marshall,KCCA
177,sebastian,arkansas,ar,fort-smith,KFSM
178,sevier,arkansas,ar,de-queen,KDEQ
179,sharp,arkansas,ar,ash-flat,KBVX
180,stone,arkansas,ar,mountain-view,KCCA
181,union,arkansas,ar,el-dorado,KELD
182,van buren,arkansas,ar,clinton,KCCA
183,washington,arkansas,ar,fayetteville,KFYV
184,white,arkansas,ar,searcy,KSRC
185,woodruff,arkansas,ar,augusta,KSRC
186,yell,arkansas,ar,danville,KRUE
187,alameda,california,ca,oakland,KOAK
188,alpine,california,ca,markleeville,KTVL
189,amador,california,ca,,
190,butte,california,ca,oroville,KOVE
191,calaveras,california,ca,san-andreas,KO22
192,colusa,california,ca,,
193,contra costa,california,ca,,
194,del norte,california,ca,crescent-city,KCEC
195,el dorado,california,ca,placerville,KAUN
196,fresno,california,ca,fresno,KFAT
197,glenn,california,ca,willows,
198,humboldt,california,ca,eureka,KACV
199,imperial,california,ca,el-centro,KIPL
200,inyo,california,ca,independence,KBIH
201,kern,california,ca,bakersfield,KBFL
202,kings,california,ca,hanford,KHJO
203,lake,california,ca,lakeport,KUKI
204,lassen,california,ca,susanville,KRTS
205,los angeles,california,ca,los-angeles,KCQT
206,madera,california,ca,madera,KFAT
207,marin,california,ca,,
208,mariposa,california,ca,mariposa,KMCE
209,mendocino,california,ca,,
210,merced,california,ca,merced,KMCE
211,modoc,california,ca,,
212,mono,california,ca,bridgeport,KBAN
213,monterey,california,ca,,
214,napa,california,ca,,
215,nevada,california,ca,,
216,orange,california,ca,santa-ana,KSNA
217,placer,california,ca,auburn,KAUN
218,plumas,california,ca,quincy,KBLU
219,riverside,california,ca,riverside,KRAL
220,sacramento,california,ca,,
221,san benito,california,ca,hollister,
222,san bernardino,california,ca,san-bernardino,KSBD
223,san diego,california,ca,san-diego,KSAN
224,city and of san francisco,california,ca,,
225,san joaquin,california,ca,stockton,KSCK
226,san luis obispo,california,ca,san-luis-obispo,KSBP
227,san mateo,california,ca,,
228,santa barbara,california,ca,santa-barbara,KSBA
229,santa clara,california,ca,san-jose,KSJC
230,santa cruz,california,ca,santa-cruz,KWVI
231,shasta,california,ca,redding,KRDD
232,sierra,california,ca,downieville,
233,siskiyou,california,ca,yreka,KSIY
234,solano,california,ca,fairfield,KSUU
235,sonoma,california,ca,santa-rosa,KSTS
236,stanislaus,california,ca,modesto,KMOD
237,sutter,california,ca,yuba-city,KMYV
238,tehama,california,ca,,
239,trinity,california,ca,weaverville,KRDD
240,tulare,california,ca,visalia,KVIS
241,tuolumne,california,ca,sonora,KO22
242,ventura,california,ca,,
243,yolo,california,ca,woodland,KEDU
244,yuba,california,ca,marysville,KMYV
245,adams,colorado,co,brighton,KDEN
246,alamosa,colorado,co,alamosa,KALS
247,arapahoe,colorado,co,littleton,KAPA
248,archuleta,colorado,co,pagosa-springs,KPSO
249,baca,colorado,co,springfield,KLAA
250,bent,colorado,co,las-animas,
251,boulder,colorado,co,boulder,KBDU
252,city and of broomfield,colorado,co,,
253,chaffee,colorado,co,salida,KANK
254,cheyenne,colorado,co,cheyenne-wells,KITR
255,clear creek,colorado,co,georgetown,K0CO
256,conejos,colorado,co,conejos,KALS
257,costilla,colorado,co,san-luis,KALS
258,crowley,colorado,co,ordway,
259,custer,colorado,co,westcliffe,K04V
260,delta,colorado,co,delta,KAJZ
261,city and of denver,colorado,co,,
262,dolores,colorado,co,dove-creek,KCEZ
263,douglas,colorado,co,castle-rock,KMNH
264,eagle,colorado,co,eagle,KEGE
265,elbert,colorado,co,kiowa,KMNH
266,el paso,colorado,co,colorado-springs,KCOS
267,fremont,colorado,co,,
268,garfield,colorado,co,glenwood-springs,KRIL
269,gilpin,colorado,co,central-city,
270,grand,colorado,co,hot-sulphur-springs,K20V
271,gunnison,colorado,co,gunnison,KGUC
272,hinsdale,colorado,co,lake-city,KTEX
273,huerfano,colorado,co,walsenburg,KTAD
274,jackson,colorado,co,walden,K33V
275,jefferson,colorado,co,golden,KBJC
276,kiowa,colorado,co,eads,KLAA
277,kit carson,colorado,co,burlington,KITR
278,lake,colorado,co,leadville,KLXV
279,la plata,colorado,co,durango,
280,larimer,colorado,co,fort-collins,
281,las animas,colorado,co,trinidad,KTAD
282,lincoln,colorado,co,hugo,KFLY
283,logan,colorado,co,sterling,KSTK
284,mesa,colorado,co,grand-junction,KGJT
285,mineral,colorado,co,creede,KPSO
286,moffat,colorado,co,craig,KCAG
287,montezuma,colorado,co,cortez,KCEZ
288,montrose,colorado,co,montrose,KMTJ
289,morgan,colorado,co,fort-morgan,KFMM
290,otero,colorado,co,la-junta,
291,ouray,colorado,co,ouray,KTEX
292,park,colorado,co,fairplay,KLXV
293,phillips,colorado,co,holyoke,KHEQ
294,pitkin,colorado,co,aspen,KASE
295,prowers,colorado,co,lamar,KLAA
296,pueblo,colorado,co,pueblo,KPUB
297,rio blanco,colorado,co,meeker,KEEO
298,rio grande,colorado,co,del-norte,
