,COUNTY,YEAR,MONTH,TMP_HIGH,TMP_AVG,TMP_LOW,DP_HIGH,DP_AVG,DP_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SEALVL_HIGH,SEALVL_AVG,SEALVL_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIND_HIGH,WIND_AVG,PRECIP,NUMDAY_RAIN,NUM_DAYS_SNOW,NUM_DAYS_FOG,NUM_DAYS_THNDRSTRM
0,mclean,2001,JAN,41.0,24.935483871,3.0,37.0,22.0322580645,1.0,100.0,85.4838709677,47.0,30.69,30.1116129032,29.31,20.0,7.77419354839,0.0,21.0,9.32258064516,0.0,5.0,10.0,4.0,0.0
1,mclean,2001,FEB,57.0,28.9642857143,-2.0,55.0,22.8928571429,-9.0,100.0,78.0,32.0,30.62,30.1775,29.54,20.0,9.46428571429,0.0,24.0,10.0357142857,0.0,7.0,7.0,2.0,3.0
2,mclean,2001,MAR,59.0,36.2258064516,15.0,50.0,26.1935483871,5.0,100.0,67.5161290323,30.0,30.48,30.0419354839,29.53,20.0,11.0,1.0,20.0,9.32258064516,0.0,6.0,5.0,1.0,0.0
3,mclean,2001,ARP,84.0,57.5333333333,28.0,68.0,42.5666666667,18.0,100.0,58.4333333333,17.0,30.79,30.0306666667,29.5,20.0,12.0333333333,1.0,23.0,10.4666666667,0.0,8.0,1.0,0.0,3.0
4,mclean,2001,MAY,89.0,63.935483871,44.0,68.0,51.7096774194,23.0,100.0,64.4193548387,25.0,30.34,29.945483871,29.45,20.0,10.5806451613,0.0,25.0,8.12903225806,0.0,11.0,0.0,2.0,2.0
5,mclean,2001,JUN,91.0,69.9642857143,48.0,73.0,57.8571428571,27.0,100.0,66.0,22.0,30.34,30.0225,29.54,20.0,8.25,0.0,50.0,6.64285714286,0.0,8.0,0.0,2.0,4.0
6,mclean,2001,JUL,95.0,75.9677419355,50.0,81.0,65.6451612903,36.0,100.0,68.6129032258,28.0,30.31,30.0264516129,29.69,20.0,8.8064516129,0.0,18.0,5.58064516129,0.0,8.0,0.0,2.0,6.0
7,mclean,2001,AUG,93.0,74.5483870968,57.0,77.0,64.8064516129,46.0,100.0,70.8709677419,34.0,30.27,30.0422580645,29.72,20.0,8.06451612903,0.0,29.0,5.51612903226,0.0,8.0,0.0,2.0,4.0
8,mclean,2001,SEP,89.0,64.0333333333,39.0,72.0,53.4333333333,18.0,100.0,68.7666666667,23.0,30.4,30.0866666667,29.63,20.0,9.26666666667,0.0,24.0,6.66666666667,0.0,8.0,0.0,5.0,3.0
9,mclean,2001,OCT,82.0,53.3870967742,32.0,66.0,42.2580645161,19.0,100.0,66.8387096774,23.0,30.5,30.055483871,29.36,20.0,9.48387096774,0.0,29.0,9.09677419355,0.0,11.0,0.0,1.0,2.0
10,mclean,2001,NOV,71.0,49.6666666667,28.0,59.0,39.3,19.0,100.0,68.7666666667,24.0,30.48,30.1156666667,29.37,20.0,9.6,0.0,99.0,8.9,0.0,7.0,0.0,2.0,0.0
11,mclean,2001,DEC,64.0,34.1935483871,6.0,59.0,28.9677419355,1.0,100.0,80.4193548387,36.0,30.37,30.0448387097,29.63,20.0,7.70967741935,0.0,26.0,9.12903225806,0.0,6.0,9.0,7.0,0.0
