State,Ag District,County,Commodity,Value
ILLINOIS,CENTRAL,MCLEAN,CORN,70340000
IOWA,NORTH CENTRAL,KOSSUTH,CORN,68367000
KANSAS,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,63530000
ILLINOIS,EAST,LIVINGSTON,CORN,63438000
ILLINOIS,EAST SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,63253000
SOUTH DAKOTA,NORTH CENTRAL,BROWN,CORN,63056000
ILLINOIS,EAST,IROQUOIS,CORN,62228000
ILLINOIS,EAST,CHAMPAIGN,CORN,59810000
ILLINOIS,NORTHEAST,LA SALLE,CORN,58602000
MINNESOTA,CENTRAL,RENVILLE,CORN,56755000
ILLINOIS,NORTHWEST,BUREAU,CORN,55369000
NORTH DAKOTA,EAST CENTRAL,CASS,CORN,53379000
IOWA,SOUTHWEST,POTTAWATTAMIE,CORN,52808000
TEXAS,NORTHERN HIGH PLAINS,OTHER (COMBINED) COUNTIES,CORN,52471000
ILLINOIS,NORTHWEST,LEE,CORN,51418000
NORTH DAKOTA,SOUTHEAST,RICHLAND,CORN,51408000
ILLINOIS,WEST SOUTHWEST,SANGAMON,CORN,50967000
ILLINOIS,NORTHWEST,OGLE,CORN,49691000
MINNESOTA,SOUTH CENTRAL,MARTIN,CORN,49000000
ILLINOIS,NORTHWEST,HENRY,CORN,48239000
MINNESOTA,SOUTHWEST,REDWOOD,CORN,47156000
IOWA,WEST CENTRAL,CRAWFORD,CORN,47084000
ILLINOIS,NORTHEAST,DE KALB,CORN,46776000
ILLINOIS,NORTHWEST,WHITESIDE,CORN,46363000
KANSAS,NORTHWEST,OTHER (COMBINED) COUNTIES,CORN,46247000
ILLINOIS,EAST,VERMILION,CORN,45786000
IOWA,CENTRAL,WEBSTER,CORN,45684000
NEBRASKA,EAST,YORK,CORN,44414000
MINNESOTA,SOUTH CENTRAL,FARIBAULT,CORN,44400000
IOWA,NORTHWEST,SIOUX,CORN,43925000
ILLINOIS,CENTRAL,LOGAN,CORN,43723000
IOWA,CENTRAL,HAMILTON,CORN,43574000
IOWA,NORTH CENTRAL,FRANKLIN,CORN,43412000
NEBRASKA,EAST,HAMILTON,CORN,43036000
IOWA,WEST CENTRAL,WOODBURY,CORN,42773000
IOWA,NORTHWEST,PLYMOUTH,CORN,42253000
ILLINOIS,WEST SOUTHWEST,CHRISTIAN,CORN,41754000
NEBRASKA,CENTRAL,CUSTER,CORN,41736000
SOUTH DAKOTA,NORTH CENTRAL,SPINK,CORN,41391000
NEBRASKA,CENTRAL,DAWSON,CORN,41074000
MINNESOTA,SOUTHEAST,MOWER,CORN,40825000
NEBRASKA,NORTHEAST,ANTELOPE,CORN,40574000
IOWA,CENTRAL,HARDIN,CORN,40472000
IOWA,EAST CENTRAL,BENTON,CORN,40385000
NEBRASKA,EAST,PLATTE,CORN,40292000
IOWA,EAST CENTRAL,CLINTON,CORN,40280000
MINNESOTA,SOUTH CENTRAL,FREEBORN,CORN,39912000
NEBRASKA,CENTRAL,BUFFALO,CORN,39832000
IOWA,NORTH CENTRAL,HANCOCK,CORN,39681000
IOWA,NORTH CENTRAL,WRIGHT,CORN,39639000
IOWA,NORTHEAST,BUCHANAN,CORN,39570000
MISSOURI,NORTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,39318000
IOWA,WEST CENTRAL,CARROLL,CORN,39085000
MINNESOTA,WEST CENTRAL,YELLOW MEDICINE,CORN,38846000
IOWA,NORTHEAST,FAYETTE,CORN,38468000
IOWA,CENTRAL,JASPER,CORN,38181000
IOWA,WEST CENTRAL,SHELBY,CORN,38068000
NEBRASKA,SOUTHEAST,FILLMORE,CORN,37970000
IOWA,NORTHWEST,POCAHONTAS,CORN,37749000
MINNESOTA,SOUTHWEST,NOBLES,CORN,37572000
IOWA,WEST CENTRAL,CALHOUN,CORN,37496000
MINNESOTA,SOUTHWEST,LYON,CORN,37477000
NEBRASKA,SOUTH,PHELPS,CORN,37310000
ILLINOIS,WEST,WARREN,CORN,37082000
ILLINOIS,NORTHWEST,STEPHENSON,CORN,37041000
IOWA,WEST CENTRAL,HARRISON,CORN,36994000
IOWA,NORTH CENTRAL,BUTLER,CORN,36864000
MINNESOTA,SOUTHWEST,JACKSON,CORN,36767000
MINNESOTA,WEST CENTRAL,SWIFT,CORN,36727000
IOWA,WEST CENTRAL,GREENE,CORN,36442000
IOWA,CENTRAL,STORY,CORN,36402000
IOWA,NORTHEAST,DELAWARE,CORN,36355000
ILLINOIS,WEST SOUTHWEST,MACOUPIN,CORN,36335000
ILLINOIS,WEST,HANCOCK,CORN,36281000
MINNESOTA,SOUTH CENTRAL,BLUE EARTH,CORN,36219000
IOWA,WEST CENTRAL,SAC,CORN,35859000
ILLINOIS,EAST,KANKAKEE,CORN,35742000
IOWA,NORTHWEST,LYON,CORN,35599000
MINNESOTA,SOUTHWEST,COTTONWOOD,CORN,35500000
IOWA,NORTHWEST,PALO ALTO,CORN,35112000
IOWA,NORTHWEST,O BRIEN,CORN,35011000
NEBRASKA,NORTHEAST,BOONE,CORN,34767000
NEBRASKA,SOUTH,ADAMS,CORN,34620000
IOWA,EAST CENTRAL,CEDAR,CORN,34615000
IOWA,CENTRAL,BOONE,CORN,34514000
NEBRASKA,SOUTHWEST,LINCOLN,CORN,34320000
ILLINOIS,WEST,KNOX,CORN,34315000
NEBRASKA,NORTH,HOLT,CORN,34292000
MINNESOTA,SOUTHEAST,FILLMORE,CORN,34236000
IOWA,CENTRAL,TAMA,CORN,34134000
MINNESOTA,WEST CENTRAL,LAC QUI PARLE,CORN,34130000
WISCONSIN,SOUTH CENTRAL,DANE,CORN,33982000
ILLINOIS,CENTRAL,TAZEWELL,CORN,33978000
NEBRASKA,NORTHEAST,CEDAR,CORN,33778000
ILLINOIS,NORTHWEST,CARROLL,CORN,33769000
NEBRASKA,CENTRAL,HALL,CORN,33769000
IOWA,NORTH CENTRAL,CERRO GORDO,CORN,33731000
IOWA,NORTHWEST,BUENA VISTA,CORN,33705000
ILLINOIS,CENTRAL,MACON,CORN,33567000
NEBRASKA,EAST,SAUNDERS,CORN,33252000
ILLINOIS,EAST SOUTHEAST,EDGAR,CORN,33182000
MINNESOTA,SOUTHWEST,MURRAY,CORN,33054000
ILLINOIS,WEST SOUTHWEST,MONTGOMERY,CORN,32882000
IOWA,NORTHEAST,WINNESHIEK,CORN,32870000
IOWA,NORTHWEST,CHEROKEE,CORN,32830000
NEBRASKA,SOUTH,KEARNEY,CORN,32788000
ILLINOIS,EAST SOUTHEAST,SHELBY,CORN,32681000
IOWA,CENTRAL,GRUNDY,CORN,32612000
NORTH DAKOTA,SOUTHEAST,LA MOURE,CORN,32536000
IOWA,CENTRAL,MARSHALL,CORN,32279000
MINNESOTA,CENTRAL,STEARNS,CORN,32031000
ILLINOIS,WEST SOUTHWEST,PIKE,CORN,31870000
IOWA,NORTHEAST,CHICKASAW,CORN,31814000
