"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00115712","MINONK, IL US","1990-01","0","0","11","4","0","0","0","28","4","0","0","12","0","0.0","0.68","59","3777","951","1.49","0.0","34.3","42.8","25.9"
"USC00115712","MINONK, IL US","1990-02","0","0","12","6","12","3","0","25","4","0","0","5","4","4.0","1.18","62","4679","902","3.74","7.0","32.8","41.8","23.8"
"USC00115712","MINONK, IL US","1990-03","9","9","15","10","0","0","0","18","2","3","0","18","0","0.0","1.50","79","5404","725","4.52","0.0","41.9","50.8","33.1"
"USC00115712","MINONK, IL US","1990-04","47","37","13","9","0","0","0","12","0","7","0","20","0","0.0","0.38","86","5882","478","1.77","0.0","50.3","61.1","39.5"
"USC00115712","MINONK, IL US","1990-05","52","5","12","9","0","0","0","0","0","16","0","36","0","0.0","1.45","80","6135","254","5.56","0.0","57.0","67.6","46.4"
"USC00115712","MINONK, IL US","1990-06","235","183","11","8","0","0","0","0","0","29","4","45","0","0.0","1.51","93","6156","20","6.35","0.0","70.4","82.4","58.4"
"USC00115712","MINONK, IL US","1990-07","481","246","14","10","0","0","0","0","0","30","6","54","0","0.0","2.16","98","6","6","5.92","0.0","72.8","83.6","61.9"
"USC00115712","MINONK, IL US","1990-08","683","202","12","7","0","0","0","0","0","31","5","47","0","0.0","1.20","94","18","13","3.48","0.0","71.1","82.5","59.7"
"USC00115712","MINONK, IL US","1990-09","831","148","6","3","0","0","0","0","0","24","3","37","0","0.0","0.40","98","128","109","0.94","0.0","66.3","78.9","53.6"
"USC00115712","MINONK, IL US","1990-10","844","13","9","7","0","0","0","14","0","10","0","25","0","0.0","0.96","86","581","453","4.17","0.0","50.8","64.3","37.2"
"USC00115712","MINONK, IL US","1990-11","844","0","8","8","0","0","0","15","0","6","0","18","0","0.0","3.60","76","1206","625","6.58","0.0","44.1","55.7","32.6"
"USC00115712","MINONK, IL US","1990-12","844","0","13","9","8","3","2","26","9","0","0","-3","3","1.5","1.35","59","2332","1125","3.70","3.8","28.7","37.1","20.3"
"USC00115712","MINONK, IL US","1991-01","0","0","11","6","21","6","4","30","21","0","0","-9","7","4.0","0.25","42","3696","1364","1.40","11.0","19.6","28.7","10.5"
"USC00115712","MINONK, IL US","1991-02","0","0","4","2","4","2","0","24","5","0","0","2","2","1.3","0.49","58","4602","906","0.66","2.6","31.4","39.0","23.9"
"USC00115712","MINONK, IL US","1991-03","3","3","15","10","5","2","0","17","1","4","0","19","10","9.0","1.70","81","5351","749","5.79","10.0","40.9","50.8","31.1"
"USC00115712","MINONK, IL US","1991-04","21","18","11","8","0","0","0","0","0","11","0","33","0","0.0","1.15","82","5671","320","3.30","0.0","54.9","66.8","43.1"
"USC00115712","MINONK, IL US","1991-05","207","186","13","9","0","0","0","0","0","28","2","39","0","0.0","2.00","94","5753","81","5.84","0.0","68.4","79.8","57.0"
"USC00115712","MINONK, IL US","1991-06","487","279","5","4","0","0","0","0","0","30","15","49","0","0.0","0.99","94","5755","2","1.90","0.0","74.2","87.6","60.9"
"USC00115712","MINONK, IL US","1991-07","828","341","6","1","0","0","0","0","0","31","18","52","0","0.0","0.18","99","0","0","0.30","0.0","76.4","89.7","63.1"
"USC00115712","MINONK, IL US","1991-08","1149","321","10","7","0","0","0","0","0","30","14","55","0","0.0","0.93","100","0","0","2.52","0.0","75.3","88.1","62.6"
"USC00115712","MINONK, IL US","1991-09","1331","182","8","5","0","0","0","0","0","22","8","33","0","0.0","1.15","96","143","143","2.13","0.0","66.3","79.6","53.0"
"USC00115712","MINONK, IL US","1991-10","1352","21","14","11","0","0","0","3","0","13","0","30","0","0.0","2.26","85","457","314","9.32","0.0","55.5","67.3","43.8"
"USC00115712","MINONK, IL US","1991-11","1352","0","19","15","7","2","0","18","8","1","0","6","2","1.5","0.75","70","1329","872","4.09","2.7","35.9","44.7","27.2"
"USC00115712","MINONK, IL US","1991-12","1352","0","7","4","5","2","2","28","7","0","0","-2","3","3.0","0.50","68","2331","1002","1.52","4.3","31.8","40.0","23.6"
