"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1ILMCL013","2008-04",,,"13","9",,"0",,,,,,,,"0.0","0.66",,,,"2.90","0.0",,,
"US1ILMCL013","2008-05",,,"16","10",,"0",,,,,,,,"0.0","1.03",,,,"4.81","0.0",,,
"US1ILMCL013","2008-06",,,"15","10",,"0",,,,,,,,"0.0","1.92",,,,"4.83","0.0",,,
"US1ILMCL013","2008-07",,,"13","9",,"0",,,,,,,,"0.0","1.83",,,,"5.88","0.0",,,
"US1ILMCL013","2008-08",,,"8","6",,"0",,,,,,,,"0.0","0.43",,,,"1.50","0.0",,,
"US1ILMCL013","2008-09",,,"10","10",,"0",,,,,,,,"0.0","2.54",,,,"11.06","0.0",,,
"US1ILMCL013","2008-10",,,"8","5",,"0",,,,,,,,"0.0","1.24",,,,"3.25","0.0",,,
"US1ILMCL013","2008-11",,,"9","2",,"1",,,,,,,,"4.0","0.41",,,,"0.91","4.0",,,
"US1ILMCL013","2008-12",,,"14","9","18","2",,,,,,,"6","3.1","1.34",,,,"4.84","7.1",,,
"US1ILMCL013","2009-01",,,"13","3","18","3",,,,,,,"5","4.8","0.22",,,,"0.64","8.7",,,
"US1ILMCL013","2009-02",,,"8","4","7","2",,,,,,,"2","1.0","1.10",,,,"3.13","2.4",,,
"US1ILMCL013","2009-03",,,"8","5","1","0",,,,,,,"1","0.8","1.18",,,,"4.29","0.8",,,
"US1ILMCL013","2009-04",,,"18","13","1","1",,,,,,,"1","1.4","1.23",,,,"7.45","1.4",,,
"US1ILMCL013","2009-05",,,"13","6",,,,,,,,,,,"1.15",,,,"5.39",,,,
"US1ILMCL013","2009-06",,,"16","11",,,,,,,,,,,"3.16",,,,"8.33",,,,
"US1ILMCL013","2009-07",,,"11","8",,,,,,,,,,,"1.12",,,,"4.17",,,,
"US1ILMCL013","2009-08",,,"12","8",,,,,,,,,,,"1.46",,,,"6.35",,,,
"US1ILMCL013","2009-09",,,"10","6",,,,,,,,,,,"0.74",,,,"1.72",,,,
"US1ILMCL013","2009-10",,,"21","13",,,,,,,,,,,"3.16",,,,"10.66",,,,
"US1ILMCL013","2009-11",,,"11","7",,,,,,,,,,,"0.72",,,,"3.02",,,,
"US1ILMCL013","2009-12",,,"15","6",,"3",,,,,,,,"3.0","1.42",,,,"3.80","8.7",,,
"US1ILMCL013","2010-01",,,"8","4","28","1",,,,,,,"9","6.1","0.47",,,,"1.32","7.7",,,
"US1ILMCL013","2010-02",,,"8","5","22","4",,,,,,,"6","3.5","0.93",,,,"1.73","8.3",,,
"US1ILMCL013","2010-03",,,"11","9",,"0",,,,,,,,"0.0","0.52",,,,"2.96","0.0",,,
"US1ILMCL013","2010-04",,,"10","8",,,,,,,,,,,"0.48",,,,"2.69",,,,
"US1ILMCL013","2010-05",,,"11","10",,,,,,,,,,,"1.34",,,,"4.58",,,,
"US1ILMCL013","2010-06",,,"17","15",,,,,,,,,,,"1.44",,,,"9.52",,,,
"US1ILMCL013","2010-07",,,"9","9",,,,,,,,,,,"1.12",,,,"3.67",,,,
"US1ILMCL013","2010-08",,,"4","3",,,,,,,,,,,"1.03",,,,"1.83",,,,
"US1ILMCL013","2010-09",,,"11","8",,,,,,,,,,,"1.31",,,,"5.23",,,,
"US1ILMCL013","2010-10",,,"5","3",,,,,,,,,,,"0.82",,,,"1.33",,,,
