YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1986,2.35,2.38,2.35,2.34,2.45,2.45,2.04,1.77,1.52,1.39,1.47,1.54
1987,1.53,1.45,1.51,1.56,1.72,1.75,1.66,1.53,1.53,1.6,1.68,1.8
1988,1.81,1.9,1.91,1.94,2.03,2.51,2.77,2.68,2.63,2.57,2.55,2.53
1989,2.62,2.68,2.67,2.63,2.68,2.58,2.56,2.31,2.34,2.25,2.28,2.33
1990,2.31,2.34,2.44,2.61,2.71,2.74,2.71,2.55,2.37,2.26,2.22,2.29
1991,2.33,2.39,2.47,2.52,2.48,2.4,2.37,2.48,2.39,2.42,2.38,2.44
1992,2.48,2.58,2.63,2.56,2.55,2.53,2.35,2.2,2.16,2.0,2.01,2.06
1993,2.08,2.05,2.15,2.22,2.21,2.11,2.23,2.26,2.23,2.31,2.44,2.69
1994,2.71,2.86,2.82,2.75,2.67,2.71,2.31,2.17,2.18,2.03,2.0,2.17
1995,2.2,2.26,2.32,2.43,2.47,2.61,2.74,2.66,2.71,2.86,3.0,3.09
1996,3.14,3.53,3.73,4.09,4.45,4.42,4.7,4.51,3.5,2.94,2.73,2.78
1997,2.77,2.72,2.87,2.9,2.8,2.64,2.49,2.65,2.68,2.64,2.61,2.65
1998,2.68,2.67,2.65,2.49,2.4,2.39,2.3,2.01,1.88,1.99,2.03,2.13
1999,2.12,2.13,2.14,2.12,2.08,2.08,1.79,1.84,1.85,1.77,1.81,1.95
2001,1.97,2.0,2.0,1.92,1.86,1.83,1.95,1.99,1.94,1.85,1.91,2.06
2002,2.01,1.98,1.98,1.96,2.0,2.05,2.24,2.47,2.5,2.36,2.33,2.37
2003,2.37,2.35,2.36,2.4,2.43,2.39,2.2,2.16,2.18,2.13,2.21,2.34
2004,2.37,2.65,2.77,2.97,2.93,2.87,2.49,2.35,2.2,2.22,2.08,2.17
2005,2.23,2.02,2.09,2.09,2.05,2.12,2.23,2.03,1.92,1.83,1.87,2.01
2006,2.06,2.08,2.12,2.2,2.26,2.28,2.28,2.15,2.21,2.62,3.02,3.0
2007,3.01,3.44,3.52,3.48,3.52,3.64,3.32,3.16,3.21,3.31,3.53,3.73
2008,3.88,4.58,4.69,5.15,5.25,5.71,5.43,5.17,4.99,4.29,4.11,4.09
2009,4.34,3.75,3.74,3.81,3.95,4.01,3.56,3.32,3.27,3.59,3.55,3.57
2010,3.63,3.48,3.53,3.42,3.49,3.41,3.51,3.73,4.05,4.51,4.62,4.84
2011,4.94,5.86,5.73,6.68,6.65,6.56,6.56,6.96,6.1,5.84,5.9,5.92
2012,6.12,6.37,6.48,6.44,6.39,6.43,7.3,7.58,6.84,6.84,7.07,6.73
2013,6.87,7.05,7.14,6.89,6.91,6.96,6.73,6.09,5.25,4.49,4.5,4.58
2014,4.47,4.36,4.56,4.84,4.77,4.68,4.12,3.74,3.51,3.58,3.63,3.81
2015,3.82,3.78,3.79,3.71,3.62,3.65,3.85,3.63,3.69,3.7,3.7,3.79
2016,3.73,3.63,3.67,3.67,3.82,3.92,3.63,3.17,3.27,3.3,3.32,3.47
