YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1986,2.35,2.379409753,2.348834531,2.338259452,2.447570476,2.446963471,2.036966326,1.76692953,1.5169869009999999,1.38690056,1.466358424,1.535804037
1987,1.525452873,1.445332096,1.5047656619999998,1.554206797,1.713187641,1.742636535,1.652605275,1.522806626,1.522428965,1.591687737,1.670857644,1.7897606419999998
1988,1.799257425,1.888254855,1.8977222809999998,1.927051405,2.015950611,2.492010409,2.749464901,2.659472386,2.6092081119999997,2.549050124,2.528585906,2.508131681
1989,2.596709605,2.655517498,2.6449527319999997,2.6046818430000003,2.65354226,2.553895959,2.533469852,2.285493737,2.314601304,2.225026227,2.254134073,2.302995547
1990,2.282661098,2.311732588,2.409926762,2.577192186,2.675271542,2.704216275,2.6739447569999997,2.515449486,2.3373085430000002,2.228273113,2.188291813,2.2567321909999998
1991,2.295581641,2.3541113609999997,2.432306699,2.480928246,2.440942922,2.361616995,2.331518415,2.43912729,2.350027615,2.378935741,2.3390342580000003,2.397406797
1992,2.436104237,2.5337057240000003,2.582168004,2.5128177590000003,2.502381312,2.482139062,2.3049724069999997,2.157311356,2.117562221,1.9602195,1.9695320269999999,2.018024761
1993,2.037111899,2.007232555,2.104624255,2.172607959,2.162285051,2.06393211,2.1807711640000003,2.2095607790000003,2.1796896230000002,2.257324804,2.383769071,2.627355952
1994,2.646233761,2.792011665,2.752279808,2.683295176,2.6045895740000002,2.64295402,2.252291392,2.115264162,2.124484914,1.9778141340000002,1.948102099,2.113166576
1995,2.1418495440000003,2.199717951,2.257557523,2.364010461,2.402328282,2.537863084,2.663609311,2.5851984,2.633139167,2.7781957060000004,2.9134685719999998,3.000128405
1996,3.0479180919999997,3.42563139,3.618820453,3.96710589,4.315218353000001,4.285064021,4.555386012,4.370148031,3.3906263360000004,2.8474197789999995,2.643376924,2.6911228489999997
1997,2.680777546,2.631735219,2.776179005,2.8045026010000003,2.707124073,2.551798259,2.406212826,2.560193818,2.5885350209999998,2.549267787,2.519673794,2.557655021
1998,2.58596812,2.57568005,2.5557525759999997,2.400847421,2.313495908,2.303284979,2.2160006869999997,1.936111624,1.8104413680000002,1.915896183,1.95392196,2.049665825
1999,2.0395370440000002,2.048649305,2.05775692,2.0380199869999998,1.9990708819999998,1.9985751059999999,1.719501068,1.7670934719999998,1.776256614,1.69902405,1.736989189,1.870877846
2001,1.8839817509999999,1.91219748,1.91172325,1.8347991719999999,1.777020882,1.747925657,1.862081816,1.8998070919999999,1.851613926,1.7652764090000002,1.8220766240000001,1.964684279
2002,1.916522346,1.887449326,1.8869812330000002,1.867457567,1.905096359,1.952239487,2.132649722,2.351043939,2.379008981,2.245227517,2.216136745,2.253622967
2003,2.253064062,2.233496812,2.2424447830000003,2.279886763,2.307812862,2.26926125,2.088341685,2.049863338,2.068330475,2.020390515,2.095753845,2.218483157
2004,2.2463680040000003,2.511138769,2.624199742,2.8129748489999997,2.774401436,2.716913785,2.356598452,2.2235473569999997,2.081102555,2.0995008580000003,1.9666120569999999,2.0511970180000003
2005,2.107389375,1.908462246,1.97410737,1.973617786,1.9353651019999998,2.000954374,2.104255487,1.915057964,1.810837146,1.7255261130000001,1.7628052419999998,1.894310055
2006,1.940950715,1.9593088619999999,1.99649262,2.071318144,2.127280936,2.14557419,2.145042082,2.022235406,2.078154366,2.463083314,2.8384224560000004,2.818925681
2007,2.8276206680000002,3.23076504,3.3050792380000003,3.266711165,3.3034401030000002,3.415210188,3.114199407,2.963382399,3.009524805,3.1025098489999996,3.307898391,3.4944478830000003
2008,3.634073793,4.288641804,4.390554977,4.819989435,4.912362881,5.341454413999999,5.078266964,4.833909573,4.664453895,4.009127164,3.839959481,3.82032586
2009,4.0528367460000005,3.501006593,3.4908046319999997,3.5552586139999995,3.684983925,3.7400305960000004,3.319502964,3.094948501,3.047581834,3.34498637,3.306896004,3.324701663
2010,3.3797406089999997,3.239278357,3.28500482,3.181849927,3.246170251,3.170972866,3.2631537999999995,3.4668219639999998,3.7633101439999996,4.189708522,4.290832132,4.494042659
2011,4.585757217,5.438435795,5.316469075,6.196371002999999,6.167013173,6.082041099,6.080532735,6.449696986,5.65134977,5.4091307539999995,5.463348752999999,5.48050906
2012,5.664256292999999,5.894177176,5.99447344,5.955993048,5.908285231,5.943795357999999,6.746336756,7.003363072000001,6.31809015,6.316523245,6.527301765,6.211859466
2013,6.339508305,6.50399555,6.585391679,6.353234727,6.370096433,6.414598517000001,6.201083574,5.609990079,4.834998953,4.134049785,4.142229483,4.21482357
2014,4.1125739999999995,4.010374887,4.19329683,4.449676163,4.38423377,4.300445591,3.784923453,3.434976476,3.222935112,3.286394933,3.331467885,3.4957974569999997
2015,3.504103535,3.466551424,3.4748602060000002,3.400668648,3.317349727,3.344012045,3.526370815,3.324039335,3.378144137,3.3864589389999997,3.3856190880000003,3.467111917
2016,3.4113773610000004,3.319096173,3.35483802,3.35400601,3.4902249239999996,3.580703824,3.314982487,2.894184118,2.984742893,3.011378839,3.028878263,3.1649400639999996
