State,Ag District,County,Commodity,Value
ILLINOIS,CENTRAL,MCLEAN,CORN,63008000
ILLINOIS,CENTRAL,LOGAN,CORN,41005000
ILLINOIS,CENTRAL,MACON,CORN,30430000
ILLINOIS,EAST,IROQUOIS,CORN,62773000
ILLINOIS,EAST,LIVINGSTON,CORN,54632000
ILLINOIS,EAST,CHAMPAIGN,CORN,47650000
ILLINOIS,EAST SOUTHEAST,SHELBY,CORN,32652000
ILLINOIS,EAST SOUTHEAST,EDGAR,CORN,32018000
ILLINOIS,EAST SOUTHEAST,DOUGLAS,CORN,22507000
ILLINOIS,NORTHEAST,LA SALLE,CORN,58757000
ILLINOIS,NORTHEAST,DE KALB,CORN,46132000
ILLINOIS,NORTHEAST,GRUNDY,CORN,21406000
ILLINOIS,NORTHWEST,BUREAU,CORN,53809000
ILLINOIS,NORTHWEST,OGLE,CORN,47409000
ILLINOIS,NORTHWEST,LEE,CORN,47378000
ILLINOIS,SOUTHEAST,WHITE,CORN,16163000
ILLINOIS,SOUTHEAST,WAYNE,CORN,16027000
ILLINOIS,SOUTHEAST,GALLATIN,CORN,14665000
ILLINOIS,SOUTHWEST,WASHINGTON,CORN,15224000
ILLINOIS,SOUTHWEST,ST CLAIR,CORN,13651000
ILLINOIS,SOUTHWEST,CLINTON,CORN,13540000
ILLINOIS,WEST,KNOX,CORN,30713000
ILLINOIS,WEST,HANCOCK,CORN,30312000
ILLINOIS,WEST,WARREN,CORN,29198000
ILLINOIS,WEST SOUTHWEST,SANGAMON,CORN,46584000
ILLINOIS,WEST SOUTHWEST,CHRISTIAN,CORN,41758000
ILLINOIS,WEST SOUTHWEST,MACOUPIN,CORN,31645000
