"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00132171","1990-01","0","0","5","1","5","2","0","30","4","0","0","9","4","3.0","0.12","62","3997","1021","0.28","4.8","32.1","41.9","22.2"
"USC00132171","1990-02","0","0","4","2","7","2","1","25","8","0","0","-3","2","2.5","0.15","67","4998","1001","0.37","5.4","29.2","39.5","19.0"
"USC00132171","1990-03","0","0","13","8","4","2","0","21","3","1","0","15","6","7.0","2.25","74","5775","777","5.33","8.5","39.9","49.3","30.6"
"USC00132171","1990-04","29","29","9","6","0","0","0","14","0","8","0","18","0","0.0","0.33","85","6289","514","1.26","0.0","48.8","60.3","37.3"
"USC00132171","1990-05","34","6","11","8","0","0","0","1","0","11","0","32","0","0.0","4.30","85","6533","243","7.70","0.0","57.3","67.1","47.6"
"USC00132171","1990-06","258","223","11","9","0","0","0","0","0","27","5","42","0","0.0","2.92","95","6561","28","9.84","0.0","71.5","81.2","61.8"
"USC00132171","1990-07","484","226","15","9","0","0","0","0","0","30","4","52","0","0.0","1.75","98","7","7","6.08","0.0","72.1","80.7","63.4"
"USC00132171","1990-08","730","245","10","5","0","0","0","0","0","31","4","51","0","0.0","1.11","92","10","3","3.15","0.0","72.8","81.7","63.9"
"USC00132171","1990-09","897","167","5","5","0","0","0","0","0","20","3","36","0","0.0","0.35","94","112","102","1.17","0.0","67.2","78.0","56.3"
"USC00132171","1990-10","907","9","6","3","0","0","0","7","0","9","0","27","0","0.2","0.70","85","541","428","1.37","0.2","51.5","63.7","39.3"
"USC00132171","1990-11","907","0","5","3","5","2","0","19","2","2","0","11","5","4.0","0.53","72","1274","734","1.31","5.0","40.5","51.0","30.1"
"USC00132171","1990-12","907","0","7","6","22","4","10","30","19","0","0","-20","7","6.0","0.39","53","2715","1441","1.39","13.8","18.5","27.3","9.8"
"USC00132171","1991-01","0","0","6","3","31","4","13","31","26","0","0","-10","13","7.0","0.48","44","4297","1582","0.90","14.5","14.0","23.1","4.9"
"USC00132171","1991-02","0","0","3","2","13","0","1","26","6","0","0","-2","11","0.7","0.28","62","5244","947","0.44","0.9","31.2","40.7","21.6"
"USC00132171","1991-03","3","3","10","9","1","1","0","21","3","2","0","11","2","2.0","1.42","79","6028","785","5.15","2.8","39.8","50.5","29.1"
"USC00132171","1991-04","20","17","13","9","0","0","0","1","0","6","0","26","0","0.0","1.57","88","6446","418","6.41","0.0","51.6","61.6","41.7"
"USC00132171","1991-05","151","131","17","7","0","0","0","0","0","22","1","36","0","0.0","1.05","90","6614","168","3.52","0.0","63.8","72.6","55.0"
"USC00132171","1991-06","372","221","11","6","0","0","0","0","0","27","3","56","0","0.0","2.00","93","6621","7","5.85","0.0","72.1","80.7","63.5"
"USC00132171","1991-07","632","260","8","4","0","0","0","0","0","31","6","53","0","0.0","0.38","93","0","0","1.07","0.0","73.4","83.2","63.6"
"USC00132171","1991-08","848","216","10","5","0","0","0","0","0","30","3","54","0","0.0","0.76","92","2","2","2.58","0.0","71.9","81.7","62.2"
"USC00132171","1991-09","962","114","8","5","0","0","0","1","0","19","0","29","0","0.0","1.35","89","166","164","2.61","0.0","63.3","74.2","52.5"
"USC00132171","1991-10","965","2","9","4","1","1","0","9","2","12","0","17","3","2.5","1.02","81","656","490","1.85","2.5","49.3","60.3","38.3"
"USC00132171","1991-11","965","0","12","7","22","4","2","24","12","0","0","-8","11","6.0","2.25","53","1799","1143","4.80","16.0","26.9","34.1","19.7"
"USC00132171","1991-12","965","0","4","3","7","0","1","29","11","0","0","-3","1","0.5","0.75","47","2934","1134","1.42","0.5","28.4","35.5","21.3"
"USC00132171","1992-01","0","0","8","4","1","2","1","28","5","0","0","-12","1","1.0","0.32","59","3948","1014","1.11","2.0","29.6","38.3","20.9"
"USC00132171","1992-02","0","0","6","2","1","1","0","24","6","0","0","9","1","1.0","0.40","65","4831","883","0.63","2.5","33.2","41.2","25.2"
"USC00132171","1992-03","0","0","8","6","1","0","0","20","2","2","0","10","1","0.7","0.81","74","5602","771","2.55","0.7","40.1","50.6","29.6"
"USC00132171","1992-04","8","8","11","4","2","1","0","12","1","6","0","19","2","2.5","1.30","89","6159","556","2.35","3.0","46.7","57.4","36.1"
"USC00132171","1992-05","51","42","8","5","0","0","0","0","0","21","0","37","0","0.0","0.79","86","6341","182","2.37","0.0","60.5","71.5","49.5"
"USC00132171","1992-06","172","122","10","3","0","0","0","0","0","28","1","45","0","0.0","0.76","90","6366","25","1.82","0.0","68.2","79.0","57.4"
"USC00132171","1992-07","306","133","16","10","0","0","0","0","0","29","1","51","0","0.0","1.19","90","15","15","4.91","0.0","68.8","77.8","59.9"
"USC00132171","1992-08","402","96","9","5","0","0","0","0","0","27","0","45","0","0.0","0.46","87","69","54","1.62","0.0","66.4","75.6","57.1"
"USC00132171","1992-09","460","57","12","11","0","0","0","0","0","20","0","35","0","0.0","0.75","84","203","134","5.20","0.0","62.4","72.9","52.0"
"USC00132171","1992-10","469","9","4","3","0","0","0","7","0","11","0","25","0","0.0","1.78","83","621","418","3.51","0.0","51.8","62.1","41.5"
"USC00132171","1992-11","469","0","9","6","6","2","0","26","7","0","0","15","2","2.5","1.00","60","1573","952","2.84","5.6","32.3","37.2","27.3"
"USC00132171","1992-12","469","0","9","6","4","2","4","29","16","0","0","-6","5","3.0","0.35","44","2805","1232","1.33","5.2","25.2","32.7","17.7"
"USC00132171","1993-01","0","0","6","4","28","5","6","31","26","0","0","-6","12","4.5","0.38","42","4307","1501","0.83","13.8","16.6","24.4","8.7"
"USC00132171","1993-02","0","0","8","6","28","5","7","28","24","0","0","-12","11","3.0","0.26","40","5622","1315","1.14","13.1","18.0","23.6","12.5"
"USC00132171","1993-03","0","0","8","4","18","2","1","26","7","1","0","-2","9","2.0","0.66","72","6663","1041","1.52","4.3","31.4","38.8","24.0"
"USC00132171","1993-04","0","0","12","8","0","0","0","7","1","3","0","19","0","0.5","1.35","74","7259","596","3.39","0.5","45.1","54.4","35.9"
"USC00132171","1993-05","21","21","18","12","0","0","0","0","0","13","0","39","0","0.0","2.85","87","7459","200","6.85","0.0","59.0","67.9","50.2"
"USC00132171","1993-06","147","126","17","11","0","0","0","0","0","23","0","44","0","0.0","1.05","89","7520","61","5.90","0.0","67.2","75.9","58.4"
"USC00132171","1993-07","368","221","22","14","0","0","0","0","0","31","0","57","0","0.0","7.89","87","0","0","12.02","0.0","72.1","79.1","65.2"
"USC00132171","1993-08","572","204","12","7","0","0","0","0","0","29","0","51","0","0.0","2.12","89","10","10","6.56","0.0","71.5","79.6","63.4"
"USC00132171","1993-09","587","15","12","10","0","0","0","0","0","12","0","33","0","0.0","0.65","87","244","234","4.05","0.0","57.7","67.3","48.1"
"USC00132171","1993-10","603","16","4","3","0","0","0","7","1","8","0","15","0","0.0","1.25","84","745","502","1.70","0.0","48.8","58.2","39.4"
"USC00132171","1993-11","603","0","6","3","7","2","1","24","7","0","0","-3","2","2.0","0.22","57","1673","927","0.64","4.4","32.8","41.6","24.0"
"USC00132171","1993-12","603","0","6","1","7","1","2","28","13","0","0","-5","2","1.5","0.25","53","2841","1168","0.50","2.3","25.1","33.4","16.9"
"USC00132171","1994-01","0","0","8","3","26","4","16","31","25","0","0","-19","5","3.0","0.56","48","4542","1701","1.14","10.4","10.1","19.2","1.1"
"USC00132171","1994-02","0","0","6","3","22","4","10","27","20","0","0","-17","7","6.3","0.39","60","5855","1313","0.76","11.3","18.1","26.9","9.3"
"USC00132171","1994-03","0","0","3","0","3","0","0","22","1","3","0","14","5","0.0","0.02","76","6664","809","0.04","0.0","38.9","50.4","27.3"
"USC00132171","1994-04","22","22","8","4","0","0","0","9","0","7","1","17","0","0.5","0.55","91","7177","513","1.58","0.5","48.6","60.5","36.8"
"USC00132171","1994-05","100","78","8","5","0","0","0","1","0","22","0","32","0","0.5","0.37","88","7328","151","1.45","0.5","62.6","73.7","51.6"
"USC00132171","1994-06","301","201","9","7","0","0","0","0","0","27","1","47","0","0.0","1.36","91","7350","22","5.13","0.0","71.0","80.0","61.9"
"USC00132171","1994-07","471","170","13","7","0","0","0","0","0","29","1","51","0","0.0","1.16","91","4","4","4.50","0.0","70.4","79.9","60.9"
"USC00132171","1994-08","614","143","10","7","0","0","0","0","0","27","0","49","0","0.0","2.15","89","28","24","5.26","0.0","69.0","78.2","59.7"
