"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00116998","1990-01","0","0","8","4","5","1","0","25","3","0","0","14","5","5.0","1.20","57","3737","916","1.93","5.0","33.4","41.4","25.4"
"USC00116998","1990-02","0","0","7","4","14","2","0","26","10","0","0","3","8","8.0","0.87","62","4684","947","2.14","10.3","31.2","39.1","23.2"
"USC00116998","1990-03","7","7","9","8","0","0","0","16","1","3","0","22","0","0.0","1.62","79","5367","683","4.51","0.0","42.3","50.3","34.4"
"USC00116998","1990-04","49","42","9","7","0","0","0","9","0","7","0","22","0","0.0","0.58","87","5848","481","2.12","0.0","50.4","59.9","40.9"
"USC00116998","1990-05","58","9","13","10","0","0","0","0","0","13","0","39","0","0.0","2.28","81","6080","232","6.94","0.0","57.8","66.9","48.7"
"USC00116998","1990-06","272","214","14","10","0","0","0","0","0","28","3","47","0","0.0","4.60","91","6100","20","10.40","0.0","71.5","81.1","61.8"
"USC00116998","1990-07","510","238","15","11","0","0","0","0","0","29","3","55","0","0.0","1.80","98","7","7","6.87","0.0","72.4","81.7","63.2"
"USC00116998","1990-08","747","237","11","7","0","0","0","0","0","31","5","52","0","0.0","1.96","94","9","1","5.52","0.0","72.6","81.4","63.8"
"USC00116998","1990-09","886","139","6","2","0","0","0","0","0","21","3","40","0","0.0","0.32","95","106","97","0.80","0.0","66.4","76.2","56.6"
"USC00116998","1990-10","902","15","8","6","0","0","0","7","0","8","0","28","0","0.0","0.76","84","536","430","3.08","0.0","51.6","62.7","40.5"
"USC00116998","1990-11","903","1","8","5","0","0","0","14","0","5","0","21","0","0.0","2.20","74","1174","638","4.47","0.0","43.8","53.3","34.2"
"USC00116998","1990-12","903","0","9","7","1","1","5","29","9","0","0","-6","1","1.5","0.70","56","2344","1171","2.58","2.2","25.8","33.5","18.2"
