"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1ILLG0011","2008-07",,,"7","6",,"0",,,,,,,,"0.0","1.13",,,,,,,,,,,,,,,,"3.50","0.0",,,
"US1ILLG0011","2008-08",,,"4","2",,"0",,,,,,,,"0.0","0.32",,,,,,,,,,,,,,,,"0.59","0.0",,,
"US1ILLG0011","2008-09",,,"6","6",,"0",,,,,,,,"0.0","2.28",,,,,,,,,,,,,,,,"5.35","0.0",,,
"US1ILLG0011","2008-10",,,"4","3",,"0",,,,,,,,"0.0","1.26",,,,,,,,,,,,,,,,"1.62","0.0",,,
"US1ILLG0011","2008-11",,,"7","2",,"0",,,,,,,,"0.0","0.26",,,,,,,,,,,,,,,,"0.65","0.0",,,
"US1ILLG0011","2009-08",,,"9","6",,,,,,,,,,,"0.84",,,,,,,,,,,,,,,,"3.16",,,,
"US1ILLG0011","2010-04",,,"7","4",,,,,,,,,,,"0.95",,,,,,,,,,,,,,,,"1.66",,,,
"US1ILLG0011","2011-08",,,"3","1",,"0",,,,,,,,"0.0","0.12",,,,,,,,,,,,,,,,"0.20","0.0",,,
"USC00115927","1990-01",,,"4","4","0","0",,,,,,,"0","0.0","0.60",,,,,,,,,,,,,,,,"0.89","0.0",,,
"USC00115927","1990-02",,,"5","3","0","0",,,,,,,"0","0.0","2.30",,,,,,,,,,,,,,,,"5.06","0.0",,,
"USC00115927","1990-03",,,"6","2","0","0",,,,,,,"0","0.0","0.75",,,,,,,,,,,,,,,,"1.06","0.0",,,
"USC00115927","1990-04",,,"4","4","0","0",,,,,,,"0","0.0","0.40",,,,,,,,,,,,,,,,"1.20","0.0",,,
"USC00115927","1990-05",,,"11","10","0","0",,,,,,,"0","0.0","1.70",,,,,,,,,,,,,,,,"7.23","0.0",,,
