"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1ILIR0006","2010-08",,,"6","2",,,,,,,,,,,"0.48",,,,,,,,,,,,,,,,"0.74",,,,
"US1ILIR0006","2010-11",,,"6","5",,,,,,,,,,,"0.98",,,,,,,,,,,,,,,,"1.89",,,,
"US1ILIR0006","2011-04",,,"15","11",,,,,,,,,,,"1.31",,,,,,,,,,,,,,,,"6.57",,,,
"US1ILIR0006","2011-05",,,"15","12",,,,,,,,,,,"1.48",,,,,,,,,,,,,,,,"5.97",,,,
"US1ILIR0006","2011-08",,,"8","3",,,,,,,,,,,"0.62",,,,,,,,,,,,,,,,"1.60",,,,
"US1ILIR0006","2011-10",,,"8","4",,,,,,,,,,,"0.35",,,,,,,,,,,,,,,,"1.00",,,,
"US1ILIR0006","2011-11",,,"10","6",,,,,,,,,,,"0.95",,,,,,,,,,,,,,,,"3.28",,,,
"US1ILIR0016","2016-07",,,"10","8",,,,,,,,,,,"2.63",,,,,,,,,,,,,,,,"8.44",,,,
"US1ILIR0016","2016-08",,,"13","7",,,,,,,,,,,"3.37",,,,,,,,,,,,,,,,"7.01",,,,
"US1ILIR0016","2016-09",,,"14","7",,,,,,,,,,,"2.12",,,,,,,,,,,,,,,,"4.02",,,,
"US1ILIR0016","2016-10",,,"12","7",,,,,,,,,,,"0.37",,,,,,,,,,,,,,,,"1.80",,,,
"US1ILIR0016","2016-11",,,"12","6",,,,,,,,,,,"0.77",,,,,,,,,,,,,,,,"2.72",,,,
"US1ILIR0016","2016-12",,,"15","3",,,,,,,,,,,"0.33",,,,,,,,,,,,,,,,"1.06",,,,
"USC00115646","1999-05",,,"9","8","0","0",,,,,,,"0","0.0","0.56",,,,,,,,,,,,,,,,"2.12","0.0",,,
"USC00115646","1999-06",,,"12","8","0","0",,,,,,,"0","0.0","0.82",,,,,,,,,,,,,,,,"3.69","0.0",,,
"USC00115646","1999-07",,,"7","5","0","0",,,,,,,"0","0.0","1.45",,,,,,,,,,,,,,,,"3.65","0.0",,,
"USC00115646","1999-08",,,"8","5","0","0",,,,,,,"0","0.0","1.59",,,,,,,,,,,,,,,,"3.46","0.0",,,
"USC00115646","1999-09",,,"3","2","0","0",,,,,,,"0","0.0","1.34",,,,,,,,,,,,,,,,"1.57","0.0",,,
"USC00115646","1999-10",,,"7","4","0","0",,,,,,,"0","0.0","0.86",,,,,,,,,,,,,,,,"1.80","0.0",,,
"USC00115646","1999-11",,,"7","2","0","0",,,,,,,"0","0.0","0.33",,,,,,,,,,,,,,,,"0.60","0.0",,,
"USC00115646","1999-12",,,"14","7","7","1",,,,,,,"3","2.5","0.96",,,,,,,,,,,,,,,,"2.98","4.8",,,
"USC00115646","2000-01",,,"9","3","12","3",,,,,,,"8","7.4","0.55",,,,,,,,,,,,,,,,"1.30","12.6",,,
"USC00115646","2000-02",,,"11","3","15","0",,,,,,,"7","0.5","0.77",,,,,,,,,,,,,,,,"1.57","1.1",,,
"USC00115646","2000-03",,,"10","4","0","0",,,,,,,"0","0.0","0.67",,,,,,,,,,,,,,,,"1.58","0.0",,,
"USC00115646","2000-04",,,"14","4","0","0",,,,,,,"0","0.2","1.11",,,,,,,,,,,,,,,,"3.06","0.2",,,
"USC00115646","2000-05",,,"15","10","0","0",,,,,,,"0","0.0","0.85",,,,,,,,,,,,,,,,"4.54","0.0",,,
"USC00115646","2000-06",,,"13","9","0","0",,,,,,,"0","0.0","1.10",,,,,,,,,,,,,,,,"3.66","0.0",,,
"USC00115646","2000-07",,,"10","6","0","0",,,,,,,"0","0.0","1.80",,,,,,,,,,,,,,,,"5.48","0.0",,,
"USC00115646","2000-08",,,"10","3","0","0",,,,,,,"0","0.0","0.42",,,,,,,,,,,,,,,,"1.09","0.0",,,
"USC00115646","2000-09",,,"10","9","0","0",,,,,,,"0","0.0","0.82",,,,,,,,,,,,,,,,"3.59","0.0",,,
"USC00115646","2000-10",,,"9","5","0","0",,,,,,,"0","0.0","0.96",,,,,,,,,,,,,,,,"2.11","0.0",,,
"USC00115646","2000-11",,,"12","6","0","0",,,,,,,"0","0.2","1.23",,,,,,,,,,,,,,,,"3.14","0.2",,,
"USC00115646","2000-12",,,"13","5","20","6",,,,,,,"11","4.9","0.60",,,,,,,,,,,,,,,,"1.81","19.8",,,
"USC00115646","2001-01",,,,,"21","0",,,,,,,"10","0.2",,,,,,,,,,,,,,,,,,"0.4",,,
"USC00115646","2001-02",,,"13","7","9","1",,,,,,,"2","1.5","1.68",,,,,,,,,,,,,,,,"3.87","2.0",,,
"USC00115646","2001-03",,,"5","2","1","1",,,,,,,"2","2.5","0.46",,,,,,,,,,,,,,,,"0.87","3.0",,,
"USC00115646","2001-04",,,"16","8","0","0",,,,,,,"0","0.0","1.40",,,,,,,,,,,,,,,,"4.59","0.0",,,
"USC00115646","2001-05",,,"18","9","0","0",,,,,,,"0","0.0","0.62",,,,,,,,,,,,,,,,"3.14","0.0",,,
"USC00115646","2001-06",,,"14","7","0","0",,,,,,,"0","0.0","1.54",,,,,,,,,,,,,,,,"5.13","0.0",,,
"USC00115646","2001-07",,,"14","9","0","0",,,,,,,"0","0.0","1.21",,,,,,,,,,,,,,,,"4.33","0.0",,,
"USC00115646","2001-08",,,"11","6","0","0",,,,,,,"0","0.0","2.28",,,,,,,,,,,,,,,,"6.55","0.0",,,
"USC00115646","2001-09",,,"11","4","0","0",,,,,,,"0","0.0","0.89",,,,,,,,,,,,,,,,"2.22","0.0",,,
"USC00115646","2001-10",,,"15","9","0","0",,,,,,,"0","0.0","1.66",,,,,,,,,,,,,,,,"7.01","0.0",,,
"USC00115646","2001-11",,,"10","4","0","0",,,,,,,"0","0.0","0.70",,,,,,,,,,,,,,,,"2.50","0.0",,,
"USC00115646","2001-12",,,"18","6","0","0",,,,,,,"0","0.5","0.56",,,,,,,,,,,,,,,,"2.05","1.5",,,
"USC00115646","2002-01",,,"5","2","1","0",,,,,,,"1","0.5","1.77",,,,,,,,,,,,,,,,"2.77","0.9",,,
"USC00115646","2002-02",,,"8","5","3","1",,,,,,,"4","4.8","0.92",,,,,,,,,,,,,,,,"2.40","5.4",,,
"USC00115646","2002-03",,,"15","9","8","3",,,,,,,"5","4.2","0.67",,,,,,,,,,,,,,,,"3.35","8.7",,,
"USC00115646","2002-04",,,"15","6","0","0",,,,,,,"0","0.2","1.56",,,,,,,,,,,,,,,,"3.86","0.3",,,
"USC00115646","2002-05",,,"17","9","0","0",,,,,,,"0","0.0","2.24",,,,,,,,,,,,,,,,"4.97","0.0",,,
"USC00115646","2002-06",,,"11","6","0","0",,,,,,,"0","0.0","1.09",,,,,,,,,,,,,,,,"2.62","0.0",,,
"USC00115646","2002-07",,,"9","7","0","0",,,,,,,"0","0.0","2.25",,,,,,,,,,,,,,,,"5.04","0.0",,,
"USC00115646","2002-08",,,"10","5","0","0",,,,,,,"0","0.0","3.75",,,,,,,,,,,,,,,,"6.43","0.0",,,
"USC00115646","2002-09",,,"11","5","0","0",,,,,,,"0","0.0","0.52",,,,,,,,,,,,,,,,"1.91","0.0",,,
"USC00115646","2002-10",,,"12","7","0","0",,,,,,,"0","0.0","0.81",,,,,,,,,,,,,,,,"2.35","0.0",,,
"USC00115646","2002-11",,,"14","4","0","0",,,,,,,"0","0.4","0.34",,,,,,,,,,,,,,,,"1.39","0.9",,,
"USC00115646","2002-12",,,"4","3","5","1",,,,,,,"7","6.9","0.54",,,,,,,,,,,,,,,,"1.44","6.9",,,
"USC00115646","2003-01",,,"11","2","19","3",,,,,,,"4","4.2","0.38",,,,,,,,,,,,,,,,"0.83","11.4",,,
"USC00115646","2003-02",,,"10","2","9","2",,,,,,,"4","4.5","0.34",,,,,,,,,,,,,,,,"0.87","8.1",,,
"USC00115646","2003-03",,,"11","5","2","1",,,,,,,"2","1.6","0.39",,,,,,,,,,,,,,,,"1.28","3.0",,,
"USC00115646","2003-04",,,"11","5","0","0",,,,,,,"0","0.0","1.05",,,,,,,,,,,,,,,,"2.67","0.0",,,
"USC00115646","2003-05",,,"14","8","0","0",,,,,,,"0","0.0","1.97",,,,,,,,,,,,,,,,"6.15","0.0",,,
"USC00115646","2003-06",,,"13","6","0","0",,,,,,,"0","0.0","0.79",,,,,,,,,,,,,,,,"3.38","0.0",,,
"USC00115646","2003-07",,,"12","10","0","0",,,,,,,"0","0.0","2.28",,,,,,,,,,,,,,,,"9.42","0.0",,,
"USC00115646","2003-08",,,"6","4","0","0",,,,,,,"0","0.0","0.62",,,,,,,,,,,,,,,,"1.96","0.0",,,
"USC00115646","2003-09",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115646","2003-10",,,"10","6","0","0",,,,,,,"0","0.0","0.91",,,,,,,,,,,,,,,,"2.54","0.0",,,
"USC00115646","2003-11",,,"16","7","0","0",,,,,,,"0","0.4","0.98",,,,,,,,,,,,,,,,"3.69","0.4",,,
"USC00115646","2003-12",,,"12","5","3","1",,,,,,,"3","3.2","0.90",,,,,,,,,,,,,,,,"2.65","4.6",,,
"USC00115646","2004-01",,,"11","5","6","3",,,,,,,"4","2.4","0.32",,,,,,,,,,,,,,,,"1.13","5.8",,,
"USC00115646","2004-03",,,"19","7","1","1",,,,,,,"1","1.1","1.09",,,,,,,,,,,,,,,,"4.10","1.7",,,
"USC00115646","2004-04",,,"3","2","0","0",,,,,,,"0","0.0","0.51",,,,,,,,,,,,,,,,"0.85","0.0",,,
"USC00115646","2004-05",,,"19","10","0","0",,,,,,,"0","0.0","2.01",,,,,,,,,,,,,,,,"5.68","0.0",,,
"USC00115646","2004-06",,,"15","9","0","0",,,,,,,"0","0.0","2.40",,,,,,,,,,,,,,,,"6.07","0.0",,,
"USC00115646","2004-07",,,"15","10","0","0",,,,,,,"0","0.0","1.13",,,,,,,,,,,,,,,,"5.04","0.0",,,
"USC00115646","2004-08",,,"11","10","0","0",,,,,,,"0","0.0","2.93",,,,,,,,,,,,,,,,"9.50","0.0",,,
"USC00115646","2004-09",,,"2","1","0","0",,,,,,,"0","0.0","0.86",,,,,,,,,,,,,,,,"0.91","0.0",,,
"USC00115646","2004-10",,,"16","13","0","0",,,,,,,"0","0.0","0.60",,,,,,,,,,,,,,,,"3.23","0.0",,,
"USC00115646","2004-11",,,"15","10","1","1",,,,,,,"2","2.1","1.18",,,,,,,,,,,,,,,,"4.59","2.1",,,
"USC00115646","2004-12",,,"8","4","3","1",,,,,,,"3","2.6","1.02",,,,,,,,,,,,,,,,"2.12","3.4",,,
"USC00115646","2005-02",,,"12","5","1","0",,,,,,,"1","0.5","0.73",,,,,,,,,,,,,,,,"1.63","2.0",,,
"USC00115646","2005-03",,,"11","3","1","0",,,,,,,"1","0.9","0.42",,,,,,,,,,,,,,,,"1.07","1.9",,,
"USC00115646","2005-04",,,"10","6","0","0",,,,,,,"0","0.0","1.17",,,,,,,,,,,,,,,,"2.50","0.0",,,
"USC00115646","2005-05",,,"10","4","0","0",,,,,,,"0","0.0","0.38",,,,,,,,,,,,,,,,"1.26","0.0",,,
"USC00115646","2005-06",,,"16","7","0","0",,,,,,,"0","0.0","0.84",,,,,,,,,,,,,,,,"3.07","0.0",,,
"USC00115646","2005-07",,,"11","7","0","0",,,,,,,"0","0.0","1.48",,,,,,,,,,,,,,,,"5.57","0.0",,,
"USC00115646","2005-08",,,"10","7","0","0",,,,,,,"0","0.0","0.69",,,,,,,,,,,,,,,,"2.46","0.0",,,
"USC00115646","2005-09",,,"11","9","0","0",,,,,,,"0","0.0","0.89",,,,,,,,,,,,,,,,"4.12","0.0",,,
"USC00115646","2005-10",,,"6","2","0","0",,,,,,,"0","0.0","1.28",,,,,,,,,,,,,,,,"2.04","0.0",,,
"USC00115646","2005-11",,,"11","7","0","0",,,,,,,"0","0.0","0.87",,,,,,,,,,,,,,,,"3.04","0.0",,,
