"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1ILED0007","2012-05",,,"6","5",,,,,,,,,,,"1.31",,,,"2.75",,,,
"US1ILED0007","2012-06",,,"3","2",,"0",,,,,,,,"0.0","0.42",,,,"0.60","0.0",,,
"US1ILED0007","2012-07",,,"2","0",,"0",,,,,,,,"0.0","0.03",,,,"0.06","0.0",,,
"US1ILED0007","2012-08",,,"8","3",,,,,,,,,,,"1.25",,,,"2.73",,,,
"US1ILED0007","2012-09",,,"11","9",,,,,,,,,,,"1.45",,,,"4.87",,,,
"US1ILED0007","2012-10",,,"12","7",,,,,,,,,,,"1.00",,,,"4.31",,,,
"US1ILED0007","2012-11",,,"6","2",,,,,,,,,,,"0.76",,,,"1.08",,,,
"US1ILED0007","2013-04",,,"10","7",,,,,,,,,,,"1.74",,,,"6.73",,,,
"US1ILED0007","2013-05",,,"15","10",,,,,,,,,,,"0.98",,,,"4.24",,,,
"US1ILED0007","2013-06",,,"14","9",,,,,,,,,,,"1.45",,,,"5.05",,,,
"US1ILED0007","2013-07",,,"7","4",,,,,,,,,,,"2.08",,,,"3.43",,,,
"US1ILED0007","2013-08",,,"3","2",,,,,,,,,,,"0.53",,,,"0.76",,,,
"US1ILED0007","2013-09",,,"6","4",,,,,,,,,,,"0.57",,,,"1.13",,,,
"US1ILED0007","2013-10",,,"11","3",,,,,,,,,,,"0.61",,,,"1.76",,,,
"US1ILED0007","2013-11",,,"6","4",,,,,,,,,,,"0.93",,,,"2.72",,,,
"US1ILED0007","2014-01",,,,,,"5",,,,,,,,"6.0",,,,,,"17.3",,,
"US1ILED0007","2014-03",,,,,,"1",,,,,,,,"2.0",,,,,,"2.6",,,
"US1ILED0007","2014-04",,,"11","10",,,,,,,,,,,"0.82",,,,"4.23",,,,
"US1ILED0007","2014-05",,,"10","8",,,,,,,,,,,"1.00",,,,"3.15",,,,
"US1ILED0007","2014-06",,,"9","8",,,,,,,,,,,"1.96",,,,"6.40",,,,
"US1ILED0007","2015-02",,,,,,"1",,,,,,,,"5.0",,,,,,"7.3",,,
"US1ILED0006","2011-06",,,"14","11",,,,,,,,,,,"0.86",,,,"4.46",,,,
"US1ILED0006","2011-07",,,"6","4",,,,,,,,,,,"1.70",,,,"2.99",,,,
"US1ILED0006","2011-08",,,"4","1",,,,,,,,,,,"0.45",,,,"0.55",,,,
"US1ILED0006","2011-09",,,"12","6",,,,,,,,,,,"0.62",,,,"1.94",,,,
"US1ILED0006","2011-10",,,"9","5",,,,,,,,,,,"1.46",,,,"3.72",,,,
"US1ILED0006","2011-11",,,"11","9",,,,,,,,,,,"2.06",,,,"7.26",,,,
"US1ILED0006","2011-12",,,"13","9",,,,,,,,,,,"1.50",,,,"4.14",,,,
"US1ILED0006","2012-01",,,"9","6",,,,,,,,,,,"0.86",,,,"2.86",,,,
"US1ILED0006","2012-02",,,"11","6",,,,,,,,,,,"0.32",,,,"1.41",,,,
"US1ILED0006","2012-03",,,"10","4",,,,,,,,,,,"0.36",,,,"1.28",,,,
"US1ILED0006","2012-04",,,"9","6",,,,,,,,,,,"0.78",,,,"2.13",,,,
"US1ILED0006","2012-06",,,"6","3",,,,,,,,,,,"0.90",,,,"1.83",,,,
"US1ILED0006","2012-07",,,"4","0",,,,,,,,,,,"0.06",,,,"0.15",,,,
"US1ILED0006","2012-09",,,"11","9",,,,,,,,,,,"1.91",,,,"5.59",,,,
"US1ILED0006","2012-10",,,"12","8",,,,,,,,,,,"0.86",,,,"4.03",,,,
"US1ILED0006","2012-12",,,"14","10",,,,,,,,,,,"1.16",,,,"3.02",,,,
"US1ILED0006","2013-01",,,"9","5",,,,,,,,,,,"1.48",,,,"3.15",,,,
"US1ILED0006","2013-02",,,"10","6",,"1",,,,,,,,"1.6","0.85",,,,"2.49","2.6",,,
"US1ILED0006","2013-03",,,"12","5",,,,,,,,,,,"0.53",,,,"1.50",,,,
"US1ILED0006","2013-04",,,"13","8",,,,,,,,,,,"1.81",,,,"5.29",,,,
"US1ILED0006","2013-05",,,"12","8",,,,,,,,,,,"1.49",,,,"4.38",,,,
"US1ILED0006","2013-06",,,"12","8",,,,,,,,,,,"0.77",,,,"3.46",,,,
"US1ILED0006","2013-07",,,"11","6",,,,,,,,,,,"2.68",,,,"5.37",,,,
"US1ILED0006","2013-10",,,"12","5",,,,,,,,,,,"0.68",,,,"1.83",,,,
"US1ILED0006","2013-12",,,"11","5",,,,,,,,,,,"1.40",,,,"3.15",,,,
"US1ILED0006","2014-03",,,"7","3",,,,,,,,,,,"1.02",,,,"1.57",,,,
"US1ILED0006","2014-06",,,"14","8",,,,,,,,,,,"1.91",,,,"5.28",,,,
"US1ILED0006","2014-07",,,"10","6",,,,,,,,,,,"2.11",,,,"4.56",,,,
"US1ILED0006","2014-10",,,"18","8",,,,,,,,,,,"1.77",,,,"5.49",,,,
"US1ILED0006","2014-11",,,"8","4",,,,,,,,,,,"1.12",,,,"2.22",,,,
"US1ILED0006","2014-12",,,"9","7",,,,,,,,,,,"0.89",,,,"2.30",,,,
"US1ILED0006","2015-01",,,"9","4",,,,,,,,,,,"0.68",,,,"1.68",,,,
"US1ILED0006","2015-04",,,"15","9",,,,,,,,,,,"1.26",,,,"5.35",,,,
"US1ILED0006","2015-05",,,"9","6",,,,,,,,,,,"0.95",,,,"3.14",,,,
"US1ILED0006","2015-07",,,"6","3",,,,,,,,,,,"0.35",,,,"0.78",,,,
"US1ILED0006","2015-08",,,"10","3",,,,,,,,,,,"0.60",,,,"1.34",,,,
"US1ILED0006","2015-10",,,"8","2",,,,,,,,,,,"1.15",,,,"1.63",,,,
"US1ILED0006","2015-11",,,"11","9",,,,,,,,,,,"1.17",,,,"4.31",,,,
"US1ILED0006","2015-12",,,"14","6",,,,,,,,,,,"4.10",,,,"8.71",,,,
"US1ILED0006","2016-02",,,"7","4",,,,,,,,,,,"0.72",,,,"1.83",,,,
