"STATION","DATE","DP01","DP10","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW"
"USC00117859","1990-01","9","6",,"0",,"0.0","3.05","4.83","0.0"
"USC00117859","1990-02","13","10","0","0","0","0.5","1.45","6.63","0.5"
"USC00117859","1990-03","10","8","0","0","0","0.5","0.52","2.49","1.5"
"USC00117859","1990-04","12","9","0","0","0","0.0","1.42","4.59","0.0"
"USC00117859","1990-05","18","14","0","0","0","0.0","2.37","10.88","0.0"
"USC00117859","1990-06","9","6","0","0","0","0.0","1.23","2.96","0.0"
"USC00117859","1990-07","8","7","0","0","0","0.0","1.55","4.72","0.0"
"USC00117859","1990-08","7","4","0","0","0","0.0","2.84","3.42","0.0"
"USC00117859","1990-09","7","4","0","0","0","0.0","0.48","1.75","0.0"
"USC00117859","1990-10","7","7","0","0","0","0.0","1.71","5.22","0.0"
"USC00117859","1990-11","7","4","0","0","0","0.0","1.07","2.69","0.0"
"USC00117859","1990-12","13","11",,"2",,"2.0","1.57","8.40","4.0"
"USC00117859","1991-01","10","7",,,,,"1.05","3.42",
"USC00117859","1991-02","9","6",,"0",,"0.0","1.12","3.46","0.0"
"USC00117859","1991-03","9","8",,"0",,"0.0","1.53","4.69","0.0"
"USC00117859","1991-04","13","9","0","0","0","0.0","0.62","2.87","0.0"
"USC00117859","1991-05","14","10","0","0","0","0.0","2.42","4.86","0.0"
"USC00117859","1991-06","6","4","0","0","0","0.0","0.83","2.20","0.0"
"USC00117859","1991-07","7","4","0","0","0","0.0","1.13","1.75","0.0"
"USC00117859","1991-08","5","3","0","0","0","0.0","1.84","2.54","0.0"
"USC00117859","1991-09","9","6","0","0","0","0.0","1.33","2.68","0.0"
"USC00117859","1991-10","11","9","0","0","0","0.0","0.68","2.87","0.0"
"USC00117859","1991-11","11","7","2","0","1","0.0","1.30","3.28","0.0"
"USC00117859","1991-12","12","8","0","0","0","0.0","1.15","4.39","0.0"
"USC00117859","1992-01","5","5",,"0",,"0.0","0.73","1.86","0.0"
"USC00117859","1992-02","7","5","0","0","0","0.0","0.68","2.20","0.0"
"USC00117859","1992-03","14","9","0","0","0","0.5","2.15","6.47","0.8"
"USC00117859","1992-04","10","6","0","0","0","0.0","0.96","2.54","0.0"
"USC00117859","1992-05","10","5","0","0","0","0.0","1.70","5.00","0.0"
"USC00117859","1992-06","7","5","0","0","0","0.0","1.26","1.84","0.0"
"USC00117859","1996-01","9","8",,"3",,"3.5","1.00","3.24","8.3"
"USC00117859","1996-02","6","4","0","1","0","1.0","0.50","1.06","1.5"
"USC00117859","1996-03","11","10",,,,,"2.18","7.59",
"USC00117859","1996-04","12","11","0","0","0","0.0","3.40","8.40","0.0"
"USC00117859","1996-05","7","7","0","0","0","0.0","1.06","4.14","0.0"
"USC00117859","1996-07","9","8","0","0","0","0.0","2.10","7.02","0.0"
"USC00117859","1996-08","5","5","0","0","0","0.0","0.50","1.43","0.0"
"USC00117859","1996-09","7","7","0","0","0","0.0","2.30","7.00","0.0"
"USC00117859","1996-10","5","5","0","0","0","0.0","0.80","2.50","0.0"
"USC00117859","1996-11","12","11","0","0","0","0.0","1.60","6.96","0.0"
"USC00117859","1996-12","7","7",,,,,"1.55","4.80",
"USC00117859","1997-01","6","5",,,,,"1.00","2.65",
"USC00117859","1997-02","8","8",,,,,"1.27","3.84",
"USC00117859","1997-03","10","10","0","0","0","0.0","2.25","7.98","0.0"
"USC00117859","1997-04","10","9","0","0","0","0.0","1.10","4.25","0.0"
"USC00117859","1997-05","12","12","0","0","0","0.0","3.60","9.38","0.0"
"USC00117859","1997-06","9","7","0","0","0","0.0","2.10","4.52","0.0"
"USC00117859","1997-07","4","4","0","0","0","0.0","0.82","2.02","0.0"
"USC00117859","1997-08","7","7","0","0","0","0.0","1.47","3.06","0.0"
"USC00117859","1997-09","6","5","0","0","0","0.0","0.50","1.32","0.0"
"USC00117859","1997-10","5","5","0","0","0","0.0","0.80","1.75","0.0"
"USC00117859","1997-11","10","8",,,,,"1.05","4.20",
"USC00117859","1997-12","9","9","0",,"0",,"0.60","2.52",
"USC00117859","1998-01","9","6","0","0","0","0.0","0.70","2.57","0.0"
"USC00117859","1998-02","9","7","0","2","0","2.5","0.53","3.31","4.0"
"USC00117859","1998-03","9","9",,"0",,"0.0","0.90","3.50","0.0"
"USC00117859","1998-04","9","8","0","0","0","0.0","1.85","6.32","0.0"
"USC00117859","1998-05","8","7","0","0","0","0.0","1.70","4.62","0.0"
"USC00117859","1998-06","11","10","0","0","0","0.0","1.90","6.24","0.0"
"USC00117859","1998-07","12","10","0","0","0","0.0","0.50","2.42","0.0"
"USC00117859","1998-08","5","5","0","0","0","0.0","2.00","4.83","0.0"
"USC00117859","1998-09","2","2","0","0","0","0.0","0.13","0.23","0.0"
"USC00117859","1998-10","5","4",,"0",,"0.0","1.31","2.53","0.0"
"USC00117859","1998-11","7","6","0","0","0","0.0","0.40","1.62","0.0"
"USC00117859","1998-12","11","5","2","0","1","0.0","1.10","2.59","0.0"
"USC00117859","1999-01","13","9","1","0","1","0.0","1.34","5.44","0.0"
"USC00117859","1999-02","5","5","0","0","0","0.0","0.45","1.37","0.0"
"USC00117859","1999-03","8","6","0","2","0","1.7","0.80","3.06","2.7"
"USC00117859","1999-04","9","8","0","0","0","0.0","1.05","4.87","0.0"
"USC00117859","1999-05","6","6","0","0","0","0.0","1.15","3.98","0.0"
"USC00117859","1999-06","8","7","0","0","0","0.0","2.06","5.06","0.0"
"USC00117859","1999-07","4","2","0","0","0","0.0","0.91","1.20","0.0"
"USC00117859","1999-08","1","1","0","0","0","0.0","0.57","0.57","0.0"
"USC00117859","1999-09","2","2","0","0","0","0.0","0.23","0.39","0.0"
"USC00117859","1999-10","3","2","0","0","0","0.0","2.22","2.62","0.0"
"USC00117859","1999-11","2","2","0","0","0","0.0","0.20","0.30","0.0"
"USC00117859","1999-12","8","6","0","0","0","0.0","1.53","4.91","0.0"
"USC00117859","2000-01","7","4","0","1","0","1.0","2.07","4.80","1.6"
"USC00117859","2000-02","10","9","0","0","0","0.0","1.43","5.80","0.0"
"USC00117859","2000-03","10","8","0","0","0","0.0","1.20","3.30","0.0"
