"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00110330","1994-01",,,"8","4",,"3",,,,,,,,"3.0","0.21",,,,"0.99","7.5",,,
"USC00110330","1994-02",,,"3","3",,,,,,,,,,,"1.44",,,,"1.96",,,,
"USC00110330","1994-03",,,"3","2","1","0",,,,,,,"5","0.0","0.54",,,,"0.68","0.0",,,
"USC00110330","1994-04",,,"13","11","0","0",,,,,,,"0","0.0","1.36",,,,"6.95","0.0",,,
"USC00110330","1994-05",,,"9","7","0","0",,,,,,,"0","0.0","1.50",,,,"3.60","0.0",,,
"USC00110330","1994-06",,,"7","5","0","0",,,,,,,"0","0.0","1.72",,,,"4.60","0.0",,,
"USC00110330","1994-07",,,"4","2","0","0",,,,,,,"0","0.0","0.81",,,,"1.39","0.0",,,
"USC00110330","1994-08",,,"6","4","0","0",,,,,,,"0","0.0","1.68",,,,"3.71","0.0",,,
"USC00110330","1994-09",,,"4","3","0","0",,,,,,,"0","0.0","0.47",,,,"1.19","0.0",,,
"USC00110330","1994-10",,,"6","3","0","0",,,,,,,"0","0.0","1.36",,,,"2.71","0.0",,,
"USC00110330","1994-11",,,"12","9","0","0",,,,,,,"0","0.5","1.19",,,,"5.14","0.5",,,
"USC00110330","1994-12",,,"4","3","0","0",,,,,,,"0","0.0","1.79",,,,"2.24","0.0",,,
"USC00110330","1995-01",,,"7","5","21","3",,,,,,,"9","6.0","1.53",,,,"3.07","11.0",,,
"USC00110330","1995-02",,,"3","2","19","2",,,,,,,"6","2.0","0.36",,,,"0.68","3.0",,,
"USC00110330","1995-03",,,"5","4","1","1",,,,,,,"1","1.0","0.45",,,,"1.18","1.0",,,
"USC00110330","1995-04",,,"13","11","0","0",,,,,,,"0","0.0","1.02",,,,"5.51","0.0",,,
"USC00110330","1995-05",,,"14","10","0","0",,,,,,,"0","0.0","4.61",,,,"13.86","0.0",,,
"USC00110330","1995-06",,,"7","4","0","0",,,,,,,"0","0.0","0.71",,,,"1.77","0.0",,,
"USC00110330","1995-07",,,"6","5","0","0",,,,,,,"0","0.0","0.56",,,,"1.92","0.0",,,
"USC00110330","1995-08",,,"8","7","0","0",,,,,,,"0","0.0","1.72",,,,"5.11","0.0",,,
"USC00110330","1995-09",,,"5","5","0","0",,,,,,,"0","0.0","1.22",,,,"2.45","0.0",,,
"USC00110330","1995-10",,,"7","3","0","0",,,,,,,"0","0.0","1.33",,,,"2.98","0.0",,,
"USC00110330","1995-11",,,"3","2",,"1",,,,,,,,"1.0","1.18",,,,"2.26","1.0",,,
"USC00110330","1995-12",,,"5","3","6","2",,,,,,,"6","4.0","0.61",,,,"0.99","6.1",,,
"USC00110330","1996-01",,,"9","7","19","6",,,,,,,"5","2.0","1.22",,,,"3.28","8.5",,,
"USC00110330","1996-02",,,"2","1","1","1",,,,,,,"2","1.5","0.49",,,,"0.55","1.5",,,
"USC00110330","1996-03",,,"8","4","0","0",,,,,,,"0","0.1","1.06",,,,"2.38","0.1",,,
"USC00110330","1996-04",,,"6","5","0","0",,,,,,,"0","0.0","1.09",,,,"2.17","0.0",,,
"USC00110330","1996-05",,,"16","13","0","0",,,,,,,"0","0.0","2.77",,,,"11.13","0.0",,,
"USC00110330","1996-06",,,"10","7","0","0",,,,,,,"0","0.0","2.70",,,,"4.72","0.0",,,
"USC00110330","1996-07",,,"5","5","0","0",,,,,,,"0","0.0","2.35",,,,"4.62","0.0",,,
"USC00110330","1996-08",,,"7","5","0","0",,,,,,,"0","0.0","1.24",,,,"3.20","0.0",,,
"USC00110330","1996-09",,,"5","4","0","0",,,,,,,"0","0.0","1.04",,,,"2.44","0.0",,,
"USC00110330","1996-10",,,"4","4","0","0",,,,,,,"0","0.0","0.76",,,,"1.17","0.0",,,
"USC00110330","1996-11",,,"6","4","0","0",,,,,,,"0","0.0","0.68",,,,"1.54","0.0",,,
"USC00110330","1996-12",,,"3","1","1","1",,,,,,,"2","2.0","0.19",,,,"0.25","2.0",,,
"USC00110330","1997-01",,,"6","6","18","5",,,,,,,"10","7.0","0.37",,,,"1.61","20.0",,,
"USC00110330","1997-02",,,"8","5","2","1",,,,,,,"2","1.0","3.18",,,,"5.40","1.0",,,
"USC00110330","1997-03",,,"9","6","0","0",,,,,,,"0","0.0","1.31",,,,"3.98","0.0",,,
"USC00110330","1997-04",,,"8","6","1","1",,,,,,,"2","2.0","1.47",,,,"2.94","2.0",,,
"USC00110330","1997-05",,,"10","7","0","0",,,,,,,"0","0.0","1.33",,,,"4.71","0.0",,,
"USC00110330","1997-06",,,"9","8","0","0",,,,,,,"0","0.0","1.37",,,,"3.31","0.0",,,
"USC00110330","1997-07",,,"6","4","0","0",,,,,,,"0","0.0","0.33",,,,"1.05","0.0",,,
"USC00110330","1997-08",,,"12","7","0","0",,,,,,,"0","0.0","1.45",,,,"4.36","0.0",,,
