"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HTDD","HX01","LN01","LX01","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDMV"
"US1ILDK0020","2013-08",,,"8","4",,,,,,,,,,,"2.13",,,,,,,,,,,,,"4.42",,,,,
"US1ILDK0020","2013-09",,,"9","4",,,,,,,,,,,"0.91",,,,,,,,,,,,,"2.00",,,,,
"US1ILDK0020","2013-11",,,"10","7",,,,,,,,,,,"0.72",,,,,,,,,,,,,"2.81",,,,,
"USW00054811","2003-09",,"37","7","6",,,"0","0","0","19","0","32",,,"0.56","87",,,,"187",,,,,,,,"1.68",,"60.0","73.3","46.6",
"USW00054811","2003-10",,"0","7","4",,,"0","8","0","9","0","23",,,"0.89","84",,,,"472",,,,,,,,"1.60",,"49.8","63.0","36.6",
"USW00054811","2003-11",,"0","12","6",,,"0","15","2","1","0","15",,,"1.08","70",,,,"765",,,,,,,,"3.98",,"39.5","47.9","31.1",
"USW00054811","2003-12",,"0","9","6",,,"0","27","9","0","0","7",,,"1.76","50",,,,"1096",,,,,,,,"3.61",,"29.6","36.7","22.5",
"USW00054811","2004-01","0","0","11","3",,,"6","31","22","0","0","-12",,,"0.33","55",,,,"1462",,,,,,,,"0.98",,"17.8","24.9","10.7",
"USW00054811","2004-02","0","0","12","5",,,"2","26","16","0","0","-4",,,"0.40","58",,,,"1146",,,,,,,,"1.20",,"25.5","33.8","17.1",
"USW00054811","2004-03","0","0","21","10",,,"0","16","0","0","0","13",,,"0.97","70",,,,"744",,,,,,,,"4.18",,"40.2","48.5","31.9",
"USW00054811","2004-04","9","9","6","5",,,"0","12","0","8","0","22",,,"1.00","84",,,,"481",,,,,,,,"1.99",,"49.3","62.1","36.4",
"USW00054811","2004-05","61","52","14","12",,,"0","1","0","17","0","28",,,"2.53","86",,,,"186",,,,,,,,"7.95",,"60.7","71.4","50.0",
"USW00054811","2004-06","173","112","10","8",,,"0","0","0","25","0","46",,,"0.88","89",,,,"55",,,,,,,,"2.91",,"66.9","76.3","57.5",
"USW00054811","2004-07","307","135","9","5",,,"0","0","0","29","0","50",,,"0.60","86",,"18",,"18",,,,,,,,"2.05",,"68.7","78.8","58.7",
"USW00054811","2004-08","372","65","9","9",,,"0","0","0","26","0","41",,,"0.98","87",,"116",,"97",,,,,,,,"3.24",,"63.9","74.6","53.3",
"USW00054811","2004-09","415","43","2","2",,,"0","1","0","27","0","32",,,"0.48","84",,"213",,"97",,,,,,,,"0.68",,"63.1","77.4","48.8",
"USW00054811","2004-10","419","4","9","7",,,"0","6","0","6","0","24",,,"1.19","77",,"649",,"436",,,,,,,,"3.20",,"51.1","62.3","39.8",
"USW00054811","2004-11","419","0","13","9",,,"0","17","1","0","0","13",,,"0.85","65",,"1381",,"732",,,,,,,,"3.19",,"40.6","48.7","32.5",
"USW00054811","2004-12","419","0","7","2",,,"1","26","12","0","0","-6",,,"0.41","54",,"2586",,"1204",,,,,,,,"0.85",,"26.1","34.1","18.2",
"USW00054811","2005-01","0","0","14","10",,,"6","30","18","0","0","-4",,,"0.63","51",,"3928",,"1343",,,,,,,,"2.80",,"21.7","28.4","15.0",
"USW00054811","2005-02","0","0","10","7",,,"0","23","5","0","0","8",,,"0.75","53",,"4871",,"942",,,,,,,,"2.07",,"31.3","37.4","25.3",
"USW00054811","2005-03","0","0","11","4",,,"0","27","4","1","0","6",,,"0.22","76",,"5841",,"970",,,,,,,,"0.89",,"33.7","44.0","23.4",
"USW00054811","2005-04","3","3","7","3",,,"0","8","0","10","0","28",,,"0.64","81",,"6251",,"410",,,,,,,,"1.56",,"51.4","64.5","38.4",
"USW00054811","2005-05","15","12","8","6",,,"0","5","0","16","0","23",,,"0.93","84",,"6530",,"279",,,,,,,,"2.18",,"56.4","68.4","44.4",
"USW00054811","2005-06","253","238","8","4",,,"0","0","0","30","7","46",,,"1.28","94",,"6543",,"13",,,,,,,,"2.94",,"72.5","84.8","60.2",
"USW00054811","2005-07","464","211","17","5",,,"0","0","0","31","2","48",,,"0.69","96",,"10",,"10",,,,,,,,"2.27",,"71.5","83.1","59.9",
"USW00054811","2005-08","626","162","16","5",,,"0","0","0","31","1","47",,,"1.08","93",,"21",,"11",,,,,,,,"3.66",,"69.9","81.6","58.2",
"USW00054811","2005-09","733","107","14","5",,,"0","0","0","25","2","35",,,"0.42","92",,"88",,"67",,,,,,,,"1.36",,"66.4","79.7","53.1",
"USW00054811","2005-10","764","30","3","2",,,"0","5","0","8","0","23",,,"0.34","87",,"517",,"429",,,,,,,,"0.67",,"52.1","64.2","40.0",
"USW00054811","2005-11","764","0","9","7",,,"0","16","3","1","0","11",,,"0.80","71",,"1275",,"758",,,,,,,,"2.15",,"39.7","49.6","29.8",
"USW00054811","2005-12","764","0","12","4",,,"6","28","17","0","0","-12",,,"0.32","38",,"2705",,"1430",,,,,,,,"0.97",,"18.9","25.4","12.3",
"USW00054811","2006-01","0","0","10","5",,,"0","27","5","0","0","1",,,"0.87","54",,"3724",,"1018",,,,,,,,"2.62",,"32.1","38.2","26.1",
"USW00054811","2006-02","0","0","4","2",,,"3","27","9","0","0","-10",,,"0.62","58",,"4793",,"1070",,,,,,,,"0.76",,"25.4","35.4","15.4",
"USW00054811","2006-03","0","0","15","9",,,"0","23","1","0","0","11",,,"0.49","66",,"5700",,"907",,,,,,,,"2.53",,"35.7","45.5","26.0",
"USW00054811","2006-04","0","0","12","7",,,"0","6","0","11","0","25",,,"1.10","83",,"6108",,"408",,,,,,,,"3.63",,"51.4","63.9","38.8",
