"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00114710","1990-01",,,"6","4","0","0",,,"5","0","0",,"0","0.0","0.50","65",,,"1.31","0.0",,"40.8",
"USC00114710","1990-02",,"0","5","3",,"2","0","24","5","0","0","2",,"3.5","0.60","63",,"803","1.00","7.0","29.3","40.2","18.5"
"USC00114710","1990-03",,"5","9","7","0","0","0","19","3","5","0","17","0","0.0","2.00","78",,"724","6.30","0.0","41.8","52.1","31.5"
"USC00114710","1990-05",,"4","10","9","0","0","0","1","0","13","0","32","0","0.0","1.87","80",,"282","6.50","0.0","56.0","66.6","45.5"
"USC00114710","1992-09",,"45",,,"0","0","0","0","0","17","0","33","0","0.0",,"84",,"172",,"0.0","60.7","72.2","49.2"
"USC00114710","1992-10",,"2",,,"0","0","0","5","0","10","0","19","0","0.0",,"80",,"452",,"0.0","50.5","62.2","38.8"
"USC00114710","1992-11",,"0",,,,,"0","19","1","0","0","19",,,,"58",,"872",,,"35.9","41.2","30.7"
"USC00114710","1992-12",,"0",,,,,"1","29","15","0","0","-1",,,,"49",,"1213",,,"25.9","33.6","18.1"
"USC00114710","1993-01","0","0",,,,,"0","30","18","0","0","1",,,,"48",,"1304",,,"22.9","29.9","16.0"
"USC00114710","1993-02","0","0",,,,,"7","27","17","0","0","-6",,,,"47",,"1213",,,"21.7","29.3","14.0"
"USC00114710","1993-03","0","0",,,,,"0","25","6","0","0","5",,,,"69",,"959",,,"33.3","41.5","25.1"
"USC00114710","1993-04","0","0","12","8","1","2","0","12","1","4","0","19","1","1.3","2.28","75",,"568","5.58","3.2","46.1","56.2","35.9"
"USC00114710","1993-05","42","42","13","9","0","0","0","0","0","18","0","37","0","0.0","1.37","85",,"154","3.65","0.0","61.4","72.1","50.7"
"USC00114710","1993-06","198","155","15","10","0","0","0","0","0","25","1","43","0","0.0","1.95","90",,"57","9.51","0.0","68.3","78.2","58.3"
"USC00114710","1993-07","458","260","16","11","0","0","0","0","0","31","1","59","0","0.0","1.47","90","0","0","7.13","0.0","73.4","81.6","65.2"
"USC00114710","1993-08","679","221",,,"0","0","0","0","0","31","1","49","0","0.0",,"91","16","16",,"0.0","71.9","81.3","62.4"
"USC00114710","1993-09","691","11",,,"0","0","0","0","0","11","0","33","0","0.0",,"85","233","217",,"0.0","57.9","67.2","48.7"
"USC00114710","1993-10","693","2",,,,,"0","13","0","8","0","17",,,,"81","746","513",,,"48.5","60.5","36.6"
"USC00114710","1993-11","693","0","9","4",,,"0","20","6","0","0","12",,,"1.20","62","1619","872","2.70",,"35.9","44.2","27.7"
"USC00114710","1993-12","693","0","11","6",,"2","4","25","11","0","0","-3",,"2.0","0.46","56","2794","1175","1.48","3.5","27.1","33.7","20.5"
"USC00114710","1994-01","0","0","10","6","24","4","15","29","22","0","0","-24","7","4.0","0.27","38","4358","1564","1.26","10.8","12.6","20.5","4.7"
"USC00114710","1994-02","0","0","9","6",,"5","4","24","19","0","0","-7",,"3.5","1.83","59","5537","1179","3.19","13.3","21.3","30.2","12.3"
"USC00114710","1994-03","0","0","5","3",,"0","0","27","1","2","0","15",,"0.0","0.52","77","6383","846","0.90","0.0","37.7","48.0","27.4"
"USC00114710","1994-04","15","15","8","7","0","0","0","6","0","6","0","16","0","0.0","0.70","84","6866","483","2.54","0.0","49.4","61.3","37.5"
"USC00114710","1994-05","60","45","6","3","0","0","0","0","0","21","0","34","0","0.0","0.77","88","7072","205","1.40","0.0","59.8","72.7","47.0"
"USC00114710","1994-06","281","221","9","7","0","0","0","0","0","27","9","45","0","0.0","3.97","94","7095","24","6.53","0.0","71.8","83.2","60.5"
"USC00114710","1994-07","459","178","9","8","0","0","0","0","0","31","1","51","0","0.0","0.54","91","3","3","2.44","0.0","71.1","81.2","61.1"
"USC00114710","1994-08","573","113","9","6","0","0","0","0","0","29","0","45","0","0.0","1.06","88","31","28","2.74","0.0","67.7","79.0","56.5"
"USC00114710","1994-09","647","74","6","5","0","0","0","0","0","22","0","41","0","0.0","0.56","89","153","122","2.06","0.0","63.4","74.7","52.1"
"USC00114710","1994-10","658","11","6","3","0","0","0","6","0","9","0","29","0","0.0","0.77","88","496","343","1.88","0.0","54.3","65.6","43.0"
"USC00114710","1994-11","658","0","10","9","0","0","0","19","0","1","0","22","0","0.0","1.86","72","1176","681","6.73","0.0","42.3","51.5","33.1"
"USC00114710","1994-12","658","0","7","3","0","0","0","27","9","0","0","6","0","0.0","1.63","57","2208","1031","2.26","0.0","31.7","39.3","24.1"
"USC00114710","1995-01","0","0","9","5","19","4","6","31","23","0","0","-5","11","8.5","0.45","44","3617","1409","1.36","14.3","19.5","26.3","12.8"
"USC00114710","1995-02","0","0","4","1","12","0","3","28","12","0","0","-4","3","0.3","0.62","55","4756","1139","0.68","0.3","24.3","33.0","15.7"
"USC00114710","1995-03","0","0","9","5","0","0","0","16","6","6","0","6","0","0.5","0.41","74","5563","807","1.49","0.5","38.3","48.9","27.7"
"USC00114710","1995-04","0","0","13","9","0","0","0","10","1","1","0","18","0","0.0","1.10","72","6166","603","4.78","0.0","44.9","55.9","33.9"
"USC00114710","1995-05","2","2","15","13","0","0","0","0","0","11","0","37","0","0.0","1.71","79","6418","251","7.10","0.0","56.9","65.9","48.1"
"USC00114710","1995-06","207","205","8","6","0","0","0","0","0","27","5","49","0","0.0","1.15","93","6440","22","2.94","0.0","71.1","81.6","60.6"
"USC00114710","1995-07","490","283","9","8","0","0","0","0","0","31","4","48","0","0.0","2.42","98","6","6","4.63","0.0","73.9","84.1","63.8"
"USC00114710","1995-08","864","374","9","7","0","0","0","0","0","31","10","60","0","0.0","1.53","92","6","0","4.95","0.0","77.1","86.4","67.8"
"USC00114710","1995-09","901","37","5","3","0","0","0","3","0","20","0","27","0","0.0","0.51","85","195","188","1.30","0.0","60.0","72.4","47.6"
"USC00114710","1995-10","907","5","12","6","0","0","0","4","0","12","0","27","0","0.0","1.72","81","605","410","4.01","0.0","51.9","64.3","39.6"
"USC00114710","1995-11","907","0","6","5","0","0","0","25","7","0","0","11","0","0.8","1.44","59","1613","1008","3.02","1.1","31.4","40.1","22.7"
"USC00114710","1995-12","907","0","5","2","3","2","3","31","15","0","0","-4","2","2.2","0.23","59","2847","1234","0.49","4.2","25.2","33.3","17.0"
"USC00114710","1996-01","0","0","9","5","6","3","5","31","16","0","0","-17","3","1.8","0.42","56","4239","1392","1.58","5.6","20.1","28.9","11.3"
"USC00114710","1996-02","0","0","6","1","1","1","6","24","11","0","0","-23","1","1.0","0.62","65","5409","1170","0.82","1.8","24.6","34.3","14.9"
"USC00114710","1996-03","0","0","6","3","2","1","2","27","9","0","0","-3","1","1.8","0.38","61","6465","1056","0.79","2.3","29.8","40.1","19.5"
"USC00114710","1996-04","0","0","8","6","0","0","0","13","0","7","0","15","0","0.0","0.83","80","7073","608","2.50","0.0","44.7","57.2","32.2"
"USC00114710","1996-05","43","43","20","14","0","0","0","0","0","8","0","33","0","0.0","0.98","89","7380","307","7.44","0.0","56.5","65.4","47.6"
"USC00114710","1996-06","211","168","12","6","0","0","0","0","0","24","2","45","0","0.0","2.27","92","7425","45","4.48","0.0","69.1","78.4","59.8"
"USC00114710","1996-07","399","188","8","6","0","0","0","0","0","30","2","49","0","0.0","1.26","92","6","6","3.40","0.0","71.0","81.4","60.6"
"USC00114710","1996-08","581","182","5","5","0","0","0","0","0","31","2","51","0","0.0","1.47","91","7","1","3.54","0.0","70.8","81.6","60.0"
"USC00114710","1996-09","631","50","6","5","0","0","0","0","0","19","0","41","0","0.0","0.92","85","156","149","1.91","0.0","61.7","72.9","50.4"
"USC00114710","1996-10","631","0","9","4","0","0","0","7","0","9","0","24","0","0.0","0.93","79","563","407","2.19","0.0","51.9","63.8","40.0"
"USC00114710","1996-11","631","0","8","3","0","0","0","27","9","0","0","8","0","0.3","0.43","63","1581","1018","0.99","0.3","31.0","38.3","23.8"
"USC00114710","1996-12","631","0","9","4","8","1","4","29","13","0","0","-2","2","1.5","0.69","46","2851","1269","1.50","2.8","24.1","31.2","16.9"
"USC00114710","1997-01","0","0","13","5","21","6","15","29","21","0","0","-12","7","3.3","1.00","63","4372","1521","2.02","15.7","15.9","25.4","6.4"
"USC00114710","1997-02","0","0","7","5","2","1","0","26","13","0","0","7","3","2.8","3.12","55","5418","1046","5.41","4.6","27.6","33.9","21.3"
"USC00114710","1997-03","0","0","8","5","0","0","0","25","3","3","0","9","0","0.0","0.45","73","6234","816","1.54","0.0","38.7","49.3","28.1"
"USC00114710","1997-04","0","0","6","4","3","2","0","15","1","2","0","18","5","4.5","0.92","74","6862","628","1.93","6.5","44.1","54.8","33.3"
"USC00114710","1997-05","4","4","12","8","0","0","0","1","0","8","0","30","0","0.0","0.99","85","7197","336","3.20","0.0","54.3","65.6","43.1"
"USC00114710","1997-06","153","148","10","6","0","0","0","0","0","28","2","46","0","0.0","0.90","91","7221","24","2.86","0.0","69.2","80.3","58.0"
"USC00114710","1997-07","399","246","7","5","0","0","0","0","0","30","8","49","0","0.0","0.60","95","13","13","1.83","0.0","72.5","83.2","61.8"
