"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00113132","2006-12",,,"6","5","11","1",,,,,,,"10","9.5","1.00",,,,"2.57","9.5",,,
"USC00113132","2007-01",,,"10","3","17","3",,,,,,,"4","3.5","0.39",,,,"0.85","7.4",,,
"USC00113132","2007-02",,,"9","6","27","6",,,,,,,"8","5.0","0.92",,,,"1.85","16.1",,,
"USC00113132","2007-03",,,"11","7","9","1",,,,,,,"2","2.0","0.76",,,,"2.83","2.5",,,
"USC00113132","2007-04",,,"11","8","1","1",,,,,,,"1","1.0","1.31",,,,"3.70","1.5",,,
"USC00113132","2007-05",,,"8","4","0","0",,,,,,,"0","0.0","0.31",,,,"0.90","0.0",,,
"USC00113132","2007-06",,,"10","5","0","0",,,,,,,"0","0.0","2.06",,,,"4.22","0.0",,,
"USC00113132","2007-07",,,"7","6","0","0",,,,,,,"0","0.0","4.70",,,,"9.12","0.0",,,
"USC00113132","2007-08",,,"14","10","0","0",,,,,,,"0","0.0","1.52",,,,"8.46","0.0",,,
"USC00113132","2007-09",,,"6","2","0","0",,,,,,,"0","0.0","0.29",,,,"0.80","0.0",,,
"USC00113132","2007-10",,,"7","7","0","0",,,,,,,"0","0.0","0.82",,,,"2.05","0.0",,,
"USC00113132","2007-11",,,"5","2","1","1",,,,,,,"2","2.0","0.20",,,,"0.43","2.0",,,
"USC00113132","2007-12",,,"16","9","28","8",,,,,,,"7","6.0","1.20",,,,"4.01","19.2",,,
"USC00113132","2008-01",,,"10","5","20","5",,,,,,,"10","8.0","1.00",,,,"2.37","14.6",,,
"USC00113132","2008-02",,,"12","7","29","8",,,,,,,"12","6.0","1.28",,,,"4.29","32.9",,,
"USC00113132","2008-03",,,"7","6","20","1",,,,,,,"6","1.0","0.75",,,,"1.89","1.5",,,
"USC00113132","2008-04",,,"12","8","0","0",,,,,,,"0","0.0","1.14",,,,"5.11","0.0",,,
"USC00113132","2008-05",,,"10","7","0","0",,,,,,,"0","0.0","1.20",,,,"3.75","0.0",,,
"USC00113132","2008-06",,,"13","8","0","0",,,,,,,"0","0.0","1.54",,,,"5.24","0.0",,,
