"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HTDD","MN01","MX01","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDMV","WSF1","WSF2","WSF5","WSFG"
"USC00114833","2003-07",,,,"6","6","0","0",,,,,,,"0","0.0","1.00",,,,,,,"3.15","0.0",,,,,,,,,,,,,
"USC00114833","2003-08",,,,"7","2","0","0",,,,,,,"0","0.0","0.16",,,,,,,"0.43","0.0",,,,,,,,,,,,,
"USC00114833","2003-09",,,,"6","4","0","0",,,,,,,"0","0.0","4.50",,,,,,,"6.35","0.0",,,,,,,,,,,,,
"USC00114833","2003-10",,,,"6","2","0","0",,,,,,,"0","0.0","1.47",,,,,,,"2.47","0.0",,,,,,,,,,,,,
"USC00114833","2003-11",,,,"8","7","0","0",,,,,,,"0","0.0","2.23",,,,,,,"3.55","0.0",,,,,,,,,,,,,
"USC00114833","2003-12",,,,"10","2","0","0",,,,,,,"0","0.0","0.75",,,,,,,"1.15","0.0",,,,,,,,,,,,,
"USC00114833","2004-06",,,,"8","6",,,,,,,,,,,"0.74",,,,,,,"2.20",,,,,,,,,,,,,,
"USC00114833","2004-07",,,,"11","8",,,,,,,,,,,"0.70",,,,,,,"3.22",,,,,,,,,,,,,,
"USC00114833","2004-08",,,,"8","6",,,,,,,,,,,"0.78",,,,,,,"2.50",,,,,,,,,,,,,,
"USC00114833","2004-09",,,,"2","1",,,,,,,,,,,"0.23",,,,,,,"0.27",,,,,,,,,,,,,,
"USC00114833","2004-10",,,,"13","7",,,,,,,,,,,"1.41",,,,,,,"5.34",,,,,,,,,,,,,,
"USC00114833","2004-11",,,,"16","9",,,,,,,,,,,"0.78",,,,,,,"3.99",,,,,,,,,,,,,,
"USC00114833","2004-12",,,,"5","4",,,,,,,,,,,"0.62",,,,,,,"1.46",,,,,,,,,,,,,,
"USC00114833","2005-01",,,,"11","6",,,,,,,,,,,"1.70",,,,,,,"5.28",,,,,,,,,,,,,,
"USC00114833","2005-02",,,,"10","3",,,,,,,,,,,"0.28",,,,,,,"1.13",,,,,,,,,,,,,,
"USC00114833","2005-03",,,,"5","3",,,,,,,,,,,"0.56",,,,,,,"1.03",,,,,,,,,,,,,,
"USC00114833","2005-04",,,,"9","3",,,,,,,,,,,"0.68",,,,,,,"1.75",,,,,,,,,,,,,,
"USC00114833","2005-05",,,,"8","5",,,,,,,,,,,"1.14",,,,,,,"2.46",,,,,,,,,,,,,,
"USC00114833","2005-06",,,,"4","1",,,,,,,,,,,"1.19",,,,,,,"1.30",,,,,,,,,,,,,,
"USC00114833","2005-07",,,,"7","6",,,,,,,,,,,"1.23",,,,,,,"2.51",,,,,,,,,,,,,,
"USC00114833","2005-08",,,,"11","7",,,,,,,,,,,"1.34",,,,,,,"4.44",,,,,,,,,,,,,,
"USC00114833","2005-09",,,,"10","8","0","0",,,,,,,"0","0.0","0.87",,,,,,,"4.04","0.0",,,,,,,,,,,,,
"USC00114833","2005-10",,,,"3","2","0","0",,,,,,,"0","0.0","1.03",,,,,,,"1.87","0.0",,,,,,,,,,,,,
"USC00114833","2005-11",,,,"7","7","0","0",,,,,,,"0","0.0","1.25",,,,,,,"4.10","0.0",,,,,,,,,,,,,
"USC00114833","2006-01",,,,"8","2","0","0",,,,,,,"0","0.0","0.14",,,,,,,"0.52","0.0",,,,,,,,,,,,,
