"STATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US10buff001","2004-08",,,,,"6",",N","3",",N","0","5,N","0","5,N",,,,,,,,,,,,,"0","5,,N,31,+","0.0","5,,N,31,+","0.32",",,N,11,",,,,,,,"0.80",",,,N","0.0","5,,,N",,,,,,
"US10buff001","2004-09",,,,,"5","3,N","5","3,N",,,,,,,,,,,,,,,,,,,,,"1.82","3,,N,23,",,,,,,,"5.09","3,,,N",,,,,,,,
"US10buff001","2004-10",,,,,"4","4,N","2","4,N",,,,,,,,,,,,,,,,,,,,,"0.77","4,,N,07,",,,,,,,"1.19","4,,,N",,,,,,,,
"US10buff001","2004-11",,,,,"3","4,N","3","4,N",,,,,,,,,,,,,,,,,,,,,"0.51","4,,N,11,",,,,,,,"0.99","4,,,N",,,,,,,,
"US10buff001","2004-12",,,,,"0","1,N","0","1,N",,,,,,,,,,,,,,,,,,,,,"0.00","1,T,N,06,",,,,,,,"0.00","1,T,,N",,,,,,,,
"US10buff001","2005-02",,,,,"6","4,N","2","4,N",,,,,,,,,,,,,,,,,,,,,"0.24","4,,N,13,",,,,,,,"0.45","4,,,N",,,,,,,,
"US10buff001","2005-03",,,,,"9",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"1.11",",,N,22,",,,,,,,"2.44",",,,N",,,,,,,,
"US10buff001","2005-04",,,,,"7",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"0.64",",,N,11,",,,,,,,"1.36",",,,N",,,,,,,,
"US10buff001","2005-05",,,,,"4","5,N","3","5,N",,,,,,,,,,,,,,,,,,,,,"2.49","5,,N,12,",,,,,,,"3.44","5,,,N",,,,,,,,
"US10buff001","2005-06",,,,,"8","4,N","6","4,N",,,,,,,,,,,,,,,,,,,,,"2.07","4,,N,03,",,,,,,,"5.31","4,,,N",,,,,,,,
"US10buff001","2005-07",,,,,"4","1,N","1","1,N",,,,,,,,,,,,,,,,,,,,,"0.43","1,,N,18,",,,,,,,"0.56","1,,,N",,,,,,,,
"US10buff001","2005-10",,,,,"3","4,N","3","4,N",,,,,,,,,,,,,,,,,,,,,"0.74","4,,N,20,",,,,,,,"1.45","4,,,N",,,,,,,,
"US10buff001","2005-12",,,,,"0",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.00",",,N,31,+",,,,,,,"0.00",",,,N",,,,,,,,
"US10buff001","2006-03",,,,,"2",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.33",",,N,09,",,,,,,,"0.62",",,,N",,,,,,,,
"US10buff001","2006-04",,,,,"2",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.16",",,N,07,",,,,,,,"0.26",",,,N",,,,,,,,
"US10buff001","2006-06",,,,,"3","5,N","3","5,N",,,,,,,,,,,,,,,,,,,,,"2.58","5,,N,17,",,,,,,,"3.97","5,,,N",,,,,,,,
"US10buff020","2005-05",,,,,"5",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"2.75",",,N,12,",,,,,,,"4.80",",,,N",,,,,,,,
"US10buff020","2005-06",,,,,"11",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"1.52",",,N,07,",,,,,,,"6.51",",,,N",,,,,,,,
"US10buff020","2005-07",,,,,"4",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.17",",,N,18,",,,,,,,"0.33",",,,N",,,,,,,,
"US10buff020","2005-08",,,,,"8",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"0.85",",,N,13,",,,,,,,"3.83",",,,N",,,,,,,,
"US10buff020","2005-09",,,,,"1",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.01",",,N,12,",,,,,,,"0.01",",,,N",,,,,,,,
"US10buff020","2005-10",,,,,"3","3,N","2","3,N",,,,,,,,,,,,,,,,,,,,,"0.68","3,,N,20,",,,,,,,"1.19","3,,,N",,,,,,,,
"US1NEBF0003","2014-07",,,,,"4",",N","3",",N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.50",",,N,10,",,,,,,,"0.88",",,,N","0.0","5,,,N",,,,,,
"US1NEBF0003","2014-09",,,,,"8",",N","6",",N",,,,,,,,,,,,,,,,,,,,,"1.22",",,N,24,",,,,,,,"3.07",",,,N",,,,,,,,
"US1NEBF0003","2014-12",,,,,"0","3,N","0","3,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,31,+","0.00","3,T,N,18,",,,,,,,"0.00","3,T,,N","0.0","4,,,N",,,,,,
"US1NEBF0003","2015-04",,,,,"5","3,N","5","3,N",,,,,,,,,,,,,,,,,,,,,"0.44","3,,N,10,",,,,,,,"1.23","3,,,N",,,,,,,,
"US1NEBF0001","2013-04",,,,,"8",",N","6",",N",,,,,,,,,,,,,,,,,,,,,"2.13",",,N,09,",,,,,,,"3.96",",,,N",,,,,,,,
"US1NEBF0001","2013-05",,,,,"10",",N","6",",N",,,,,,,,,,,,,,,,,,,,,"1.79",",,N,25,",,,,,,,"4.99",",,,N",,,,,,,,
"US1NEBF0001","2013-06",,,,,"10",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"0.46",",,N,23,",,,,,,,"1.44",",,,N",,,,,,,,
"US1NEBF0001","2013-07",,,,,"9","5,N","5","5,N",,,,,,,,,,,,,,,,,,,,,"0.78","5,,N,09,",,,,,,,"2.16","5,,,N",,,,,,,,
"US1NEBF0001","2013-08",,,,,"8","2,N","5","2,N",,,,,,,,,,,,,,,,,,,,,"0.98","2,,N,02,",,,,,,,"2.59","2,,,N",,,,,,,,
"US1NEBF0001","2013-09",,,,,"9",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"1.82",",,N,28,",,,,,,,"2.59",",,,N",,,,,,,,
"US1NEBF0001","2013-10",,,,,"6",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"1.49",",,N,15,",,,,,,,"3.32",",,,N",,,,,,,,
"US1NEBF0001","2013-11",,,,,"4","2,N","2","2,N",,,,,,,,,,,,,,,,,,,,,"0.43","2,,N,06,",,,,,,,"0.58","2,,,N",,,,,,,,
"US1NEBF0001","2013-12",,,,,"3","1,N","0","1,N",,,,,,,,,,,,,,,,,,,,,"0.04","1,,N,09,",,,,,,,"0.08","1,,,N",,,,,,,,
"US1NEBF0001","2014-01",,,,,"4","1,N","1","1,N",,,,,,,,,,,,,,,,,,,,,"0.14","1,,N,31,",,,,,,,"0.22","1,,,N",,,,,,,,
"US1NEBF0001","2014-02",,,,,"7","1,N","1","1,N",,,,,,,,,,,,,,,,,,,,,"0.15","1,,N,05,",,,,,,,"0.41","1,,,N",,,,,,,,
"US1NEBF0001","2014-03",,,,,"5",",N","1",",N",,,,,,,,,,,,,,,,,,,,,"0.12",",,N,28,",,,,,,,"0.24",",,,N",,,,,,,,
"US1NEBF0001","2014-04",,,,,"11",",N","7",",N",,,,,,,,,,,,,,,,,,,,,"0.71",",,N,14,",,,,,,,"2.77",",,,N",,,,,,,,
"US1NEBF0001","2014-05",,,,,"6","3,N","3","3,N",,,,,,,,,,,,,,,,,,,,,"0.41","3,,N,24,",,,,,,,"0.81","3,,,N",,,,,,,,
"US1NEBF0001","2014-06",,,,,"13","1,N","8","1,N",,,,,,,,,,,,,,,,,,,,,"2.13","1,,N,02,",,,,,,,"6.52","1,,,N",,,,,,,,
"US1NEBF0001","2014-07",,,,,"2","3,N","0","3,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.02","3,,N,14,+",,,,,,,"0.04","3,,,N","0.0","5,,,N",,,,,,
"US1NEBF0001","2014-08",,,,,"14",",N","10",",N",,,,,,,,,,,,,,,,,,,,,"3.42",",,N,09,",,,,,,,"8.11",",,,N",,,,,,,,
"US1NEBF0001","2014-09",,,,,"8",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"0.83",",,N,23,",,,,,,,"2.31",",,,N",,,,,,,,
"US1NEBF0001","2014-10",,,,,"4","4,N","4","4,N",,,,,,,,,,,,,,,,,,,,,"0.48","4,,N,02,",,,,,,,"0.84","4,,,N",,,,,,,,
"US1NEBF0001","2014-11",,,,,"2","1,N","0","1,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,30,+","0.08","1,,N,15,",,,,,,,"0.12","1,,,N","0.0","5,,,N",,,,,,
"US1NEBF0001","2014-12",,,,,"6",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.69",",,N,15,",,,,,,,"0.97",",,,N",,,,,,,,
"US1NEBF0001","2015-02",,,,,"6","1,N","1","1,N",,,,,,,,,,,,,,,,,,,,,"0.38","1,,N,01,",,,,,,,"0.55","1,,,N",,,,,,,,
"US1NEBF0001","2015-03",,,,,"2",",N","0",",N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","0.06",",,N,04,",,,,,,,"0.08",",,,N","0.0","3,,,N",,,,,,
"US1NEBF0001","2015-04",,,,,"11","3,N","7","3,N",,,,,,,,,,,,,,,,,,,,,"0.87","3,,N,17,",,,,,,,"2.78","3,,,N",,,,,,,,
"US1NEBF0001","2015-05",,,,,"16",",N","9",",N",,,,,,,,,,,,,,,,,,,,,"0.63",",,N,14,",,,,,,,"2.61",",,,N",,,,,,,,
"US1NEBF0001","2015-06",,,,,"13",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"2.17",",,N,17,",,,,,,,"6.58",",,,N",,,,,,,,
"US1NEBF0001","2015-07",,,,,"10",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"1.32",",,N,25,",,,,,,,"1.94",",,,N",,,,,,,,
"US1NEBF0001","2015-08",,,,,"8",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"1.25",",,N,05,",,,,,,,"3.04",",,,N",,,,,,,,
"US1NEBF0001","2015-09",,,,,"9",",N","7",",N",,,,,,,,,,,,,,,,,,,,,"0.52",",,N,24,",,,,,,,"1.89",",,,N",,,,,,,,
"US1NEBF0001","2015-10",,,,,"7","1,N","4","1,N",,,,,,,,,,,,,,,,,,,,,"0.36","1,,N,31,",,,,,,,"1.23","1,,,N",,,,,,,,
"US1NEBF0001","2015-11",,,,,"8","1,N","5","1,N",,,,,,,,,,,,,,,,,,,,,"0.97","1,,N,18,+",,,,,,,"2.98","1,,,N",,,,,,,,
"US1NEBF0001","2015-12",,,,,"8","5,N","2","5,N",,,,,,,,,,,,,,,,,,,,,"0.57","5,,N,14,",,,,,,,"0.94","5,,,N",,,,,,,,
"US1NEBF0001","2016-02",,,,,"3",",N","2",",N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,29,+","0.53",",,N,02,",,,,,,,"0.80",",,,N","0.0","3,,,N",,,,,,
"US1NEBF0001","2016-03",,,,,"7",",N","1",",N",,,,,,,,,,,,,,,,,,,,,"0.37",",,N,24,",,,,,,,"0.57",",,,N",,,,,,,,
"US1NEBF0001","2016-04",,,,,"10",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"4.09",",,N,17,",,,,,,,"8.55",",,,N",,,,,,,,
"US1NEBF0001","2016-05",,,,,"14","5,N","8","5,N",,,,,,,,,,,,,,,,,,,,,"0.69","5,,N,11,",,,,,,,"2.58","5,,,N",,,,,,,,
"US1NEBF0001","2016-06",,,,,"7","1,N","2","1,N",,,,,,,,,,,,,,,,,,,,,"0.37","1,,N,13,",,,,,,,"0.82","1,,,N",,,,,,,,
"US1NEBF0001","2016-07",,,,,"11",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"1.19",",,N,06,",,,,,,,"4.36",",,,N",,,,,,,,
"US1NEBF0001","2016-08",,,,,"6",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.78",",,N,23,",,,,,,,"1.44",",,,N",,,,,,,,
"US1NEBF0001","2016-09",,,,,"5","1,N","2","1,N",,,,,,,,,,,,,,,,,,,,,"0.89","1,,N,16,",,,,,,,"1.31","1,,,N",,,,,,,,
"US1NEBF0001","2016-10",,,,,"4",",N","1",",N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,31,+","0.14",",,N,07,",,,,,,,"0.24",",,,N","0.0","4,,,N",,,,,,
"US1NEBF0001","2016-11",,,,,"6",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"0.45",",,N,08,",,,,,,,"1.31",",,,N",,,,,,,,
"US1NEBF0001","2016-12",,,,,"5","1,N","2","1,N",,,,,,,,,,,,,,,,,,,,,"0.30","1,,N,23,",,,,,,,"0.59","1,,,N",,,,,,,,
"US10buff019","2005-04",,,,,"6",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"0.68",",,N,11,",,,,,,,"1.30",",,,N",,,,,,,,
"US10buff019","2005-05",,,,,"9","1,N","5","1,N",,,,,,,,,,,,,,,,,,,,,"1.61","1,,N,12,",,,,,,,"3.05","1,,,N",,,,,,,,
"US10buff019","2005-06",,,,,"9",",N","7",",N","0","4,N","0","4,N",,,,,,,,,,,,,"0","4,,N,30,+","0.0","4,,N,30,+","1.71",",,N,03,",,,,,,,"5.91",",,,N","0.0","4,,,N",,,,,,
"US10buff019","2005-07",,,,,"2",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.07",",,N,26,",,,,,,,"0.10",",,,N",,,,,,,,
"US10buff019","2005-08",,,,,"9",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"2.09",",,N,13,",,,,,,,"4.26",",,,N",,,,,,,,
"US10buff019","2005-09",,,,,"3",",N","1",",N",,,,,,,,,,,,,,,,,,,,,"0.36",",,N,05,",,,,,,,"0.43",",,,N",,,,,,,,
"US10buff019","2005-10",,,,,"5",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"0.76",",,N,05,",,,,,,,"2.25",",,,N",,,,,,,,
"US10buff019","2013-01",,,,,"0",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.00",",T,N,30,+",,,,,,,"0.00",",T,,N",,,,,,,,
"US10buff019","2013-02",,,,,"4",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"0.54",",,N,22,",,,,,,,"0.95",",,,N",,,,,,,,
"US10buff019","2013-03",,,,,"4",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.18",",,N,30,",,,,,,,"0.42",",,,N",,,,,,,,
"US1NEBF0006","2016-06",,,,,"7",",N","2",",N","0",",N","0",",N",,,,,,,,,,,,,"0",",,N,30,+","0.0",",,N,30,+","0.16",",,N,29,",,,,,,,"0.54",",,,N","0.0",",,,N",,,,,,
"US1NEBF0006","2016-07",,,,,"10",",N","9",",N","0",",N","0",",N",,,,,,,,,,,,,"0",",,N,31,+","0.0",",,N,31,+","0.93",",,N,07,",,,,,,,"3.85",",,,N","0.0",",,,N",,,,,,
"US1NEBF0006","2016-08",,,,,"9",",N","3",",N","0",",N","0",",N",,,,,,,,,,,,,"0",",,N,31,+","0.0",",,N,31,+","0.88",",,N,20,",,,,,,,"1.54",",,,N","0.0",",,,N",,,,,,
"US1NEBF0006","2016-09",,,,,"6",",N","2",",N","0",",N","0",",N",,,,,,,,,,,,,"0",",,N,30,+","0.0",",,N,30,+","0.70",",,N,16,",,,,,,,"1.20",",,,N","0.0",",,,N",,,,,,
"US1NEBF0006","2016-10",,,,,"4",",N","0",",N","0",",N","0",",N",,,,,,,,,,,,,"0",",,N,31,+","0.0",",,N,31,+","0.09",",,N,12,",,,,,,,"0.20",",,,N","0.0",",,,N",,,,,,
"US1NEBF0006","2016-11",,,,,"7",",N","5",",N","0",",N","0",",N",,,,,,,,,,,,,"0",",T,N,18,","0.2",",,N,18,","0.52",",,N,08,",,,,,,,"1.39",",,,N","0.2",",,,N",,,,,,
"US1NEBF0006","2016-12",,,,,"2","4,N","1","4,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,T,N,12,+","0.31","4,,N,26,",,,,,,,"0.32","4,,,N","0.0","4,T,,N",,,,,,
"US10buff018","2005-07",,,,,"4","1,N","2","1,N",,,,,,,,,,,,,,,,,,,,,"0.44","1,,N,18,",,,,,,,"0.62","1,,,N",,,,,,,,
"US10buff018","2005-10",,,,,"3",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"1.26",",,N,05,",,,,,,,"2.57",",,,N",,,,,,,,
"US10buff018","2006-03",,,,,"2",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"1.04",",,N,31,",,,,,,,"1.34",",,,N",,,,,,,,
"US10buff018","2006-04",,,,,"2",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.21",",,N,28,",,,,,,,"0.34",",,,N",,,,,,,,
"US10buff017","2004-10",,,,,"2",",N","0",",N",,,,,,,,,,,,,,,,,,,,,"0.03",",,N,28,",,,,,,,"0.05",",,,N",,,,,,,,
"US10buff017","2004-11",,,,,"5",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"1.18",",,N,18,",,,,,,,"1.85",",,,N",,,,,,,,
"US10buff017","2005-05",,,,,"5",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.64",",,N,18,",,,,,,,"0.98",",,,N",,,,,,,,
"US10buff017","2005-06",,,,,"7",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"0.81",",,N,21,",,,,,,,"1.86",",,,N",,,,,,,,
"US10buff017","2005-07",,,,,"5",",N","2",",N","0","3,N","0","3,N",,,,,,,,,,,,,"0","3,,N,31,+","0.0","3,,N,31,+","0.28",",,N,18,",,,,,,,"0.48",",,,N","0.0","3,,,N",,,,,,
"US10buff017","2005-08",,,,,"12",",N","7",",N","0",",N","0",",N",,,,,,,,,,,,,"0",",,N,31,+","0.0",",,N,31,+","0.78",",,N,23,",,,,,,,"2.90",",,,N","0.0",",,,N",,,,,,
"US10buff017","2005-09",,,,,"3",",N","1",",N",,,,,,,,,,,,,,,,,,,,,"0.12",",,N,25,",,,,,,,"0.15",",,,N",,,,,,,,
