PCA1,PCA2,PCA3,Price
0.413471447,0.218773498,0.202786243,2.35
0.232362935,0.224151319,0.174147748,2.38
0.131581556,0.007305438,0.232301721,2.35
-0.017503882,-0.388934802,0.394053346,2.34
-0.170055776,-0.242422188,0.491933246,2.45
-0.155664782,0.037453145,0.54784262,2.45
-0.192600659,0.100439065,0.537865938,2.04
-0.271813091,-0.003287117,0.459564971,1.77
-0.196010377,-0.037803127,0.508190154,1.52
-0.021275385,-0.093464121,0.30146004,1.39
0.395792393,0.129940618,0.169880971,1.47
0.418445009,0.299824764,0.151338156,1.54
0.234382165,0.200420221,0.212902115,1.53
0.432065201,0.028517486,0.194241325,1.45
0.286239209,-0.310034099,0.267442699,1.51
-0.004209844,-0.339476658,0.414346245,1.56
-0.199821311,-0.210730896,0.516029218,1.72
-0.162501527,0.039848915,0.556939747,1.75
-0.160792986,0.148666846,0.453998701,1.66
-0.205307441,0.052942647,0.533669786,1.53
-0.201020746,-0.003679609,0.573550799,1.53
0.048920589,-0.32369099,0.426293542,1.6
0.226277813,-0.212096709,0.290409483,1.68
0.206778652,0.138453208,0.222588728,1.8
0.513825795,0.232121771,0.15912899,1.81
0.503307077,0.221409034,0.19507956,1.9
0.338593523,-0.214054968,0.234832782,1.91
0.018211087,-0.31080172,0.322250711,1.94
-0.020809113,-0.051572441,0.339497406,2.03
0.045973086,0.106277651,0.222870721,2.51
-0.242201804,0.093197657,0.472802388,2.77
-0.224093289,0.100705264,0.569765035,2.68
-0.270398339,-0.154481472,0.479888134,2.63
0.086294375,-0.292673656,0.355805438,2.57
0.247954386,-0.112802836,0.207237853,2.55
0.449876259,0.085943767,0.212343328,2.53
0.48572674,0.094602959,0.206178199,2.62
0.358011671,0.289216746,0.171870182,2.68
0.400493171,-0.062889559,0.159227567,2.67
0.007721606,-0.443757564,0.282004824,2.63
-0.116770492,-0.332308055,0.443901806,2.68
-0.195625062,0.032361792,0.598626914,2.58
-0.263418148,0.088848784,0.385369033,2.56
-0.168058874,0.150572932,0.476328737,2.31
-0.186897344,-0.093475792,0.410498454,2.34
0.018676843,-0.190316663,0.360791351,2.25
0.29654531,-0.171560311,0.252393483,2.28
0.434876853,0.222828014,0.163218112,2.33
0.101574565,-0.018216935,0.312357896,2.31
0.419295708,0.00716532,0.215458659,2.34
0.1502766,-0.084391525,0.252078219,2.44
0.085416112,-0.370437025,0.264564354,2.61
-0.172472901,-0.298941647,0.447574488,2.71
-0.30168294,-0.02562025,0.465172077,2.74
-0.189753381,0.124406964,0.546527997,2.71
-0.194136621,0.19361834,0.458969309,2.55
-0.283350325,0.049980207,0.342579948,2.37
-0.098304745,-0.30153816,0.342466057,2.26
0.260722627,-0.181370676,0.215253908,2.22
0.511828894,0.248829679,0.163309115,2.29
0.367962706,0.299895161,0.19328163,2.33
0.47619366,0.134131462,0.171642946,2.39
0.116582556,-0.335513062,0.279448186,2.47
-0.052613462,-0.39591998,0.448339331,2.52
-0.234497885,-0.011761896,0.432964196,2.48
-0.123328005,0.111555916,0.504845362,2.4
-0.131199536,0.114436977,0.524625134,2.37
-0.268630273,0.153472881,0.495004582,2.48
-0.175305853,-0.071592789,0.527599838,2.39
-0.043017221,-0.393373464,0.339383933,2.42
0.304254395,-0.00081166,0.228929756,2.38
0.167297833,0.140868452,0.220880442,2.44
0.416106198,0.259182378,0.192149487,2.48
0.459164261,0.119163164,0.140958839,2.58
0.228992801,-0.16199862,0.264973146,2.63
0.020499419,-0.377203869,0.317629929,2.56
-0.019145115,-0.155419619,0.37165551,2.55
-0.139875089,-0.030671231,0.521411974,2.53
-0.330758222,0.205671998,0.230227777,2.35
-0.340001647,0.148369533,0.303546823,2.2
-0.241042128,-0.09944015,0.337034054,2.16
-0.002735799,-0.302134018,0.24258969,2
0.276813628,0.064864964,0.111580361,2.01
0.568071936,0.236599593,0.082347655,2.06
0.516377779,0.23047345,0.12872586,2.08
0.521678342,0.22343593,0.151191152,2.05
0.359822946,0.024731065,0.15809544,2.15
0.033172765,-0.135390629,0.304713748,2.22
-0.236596567,-0.250279723,0.525728693,2.21
-0.314862,-0.051746545,0.442232263,2.11
-0.297644198,0.220964394,0.330646056,2.23
-0.285706638,0.249202715,0.281442753,2.26
0.05487179,0.11388865,0.197230305,2.23
-0.007372612,-0.25708317,0.36076798,2.31
0.393000732,-0.030380368,0.158833402,2.44
0.491314237,0.196573731,0.161782668,2.69
0.387557537,0.344668708,0.18175223,2.71
0.055665727,0.114021715,0.196194621,2.86
0.243864381,-0.307936187,0.249065983,2.82
0.042666969,0.010575679,0.239747238,2.75
0.021537534,0.06777594,0.249801896,2.67
-0.323544613,0.017395203,0.419711666,2.71
-0.393201257,0.182539489,0.352896459,2.31
-0.337559979,0.198107492,0.399295427,2.17
-0.266202747,0.068164453,0.40658979,2.18
-0.061380251,-0.23116074,0.401093003,2.03
0.143066069,-0.283064657,0.374872987,2
0.384411923,0.192959098,0.159915938,2.17
0.404959375,0.244638124,0.186771453,2.2
0.357202817,0.051141385,0.26617621,2.26
0.242366666,-0.243713947,0.291404843,2.32
0.015896281,-0.362390824,0.367059992,2.43
-0.18088321,-0.099336387,0.451748527,2.47
-0.321271244,0.044696296,0.39577198,2.61
-0.443621866,0.111813362,0.304219831,2.74
-0.32361786,0.344213178,0.18964886,2.66
-0.172165755,-0.101855398,0.323304259,2.71
-0.102247906,-0.389784292,0.226841199,2.86
0.456607746,-0.013002083,0.118480011,3
