PCA1,PCA2,PCA3,Price
4.957995222,1.857987748,-1.20024554,2.35
4.482719181,-0.641803917,-2.721553019,2.38
2.369900725,3.397975592,1.432108129,2.35
-0.853751154,3.464702543,1.401333008,2.34
-1.968172079,2.677939405,0.178629482,2.45
-3.929469687,3.357766586,-0.884524241,2.45
-4.455497377,2.529645312,-1.148404807,2.04
-2.635542262,2.055550993,-1.934074923,1.77
-2.789575429,2.305814934,-0.82344534,1.52
-0.272231872,1.32553682,-2.06994209,1.39
3.128644884,0.941897743,-2.283183335,1.47
4.204193123,0.02048598,-3.010443297,1.54
4.80425345,1.37227302,-1.997929333,1.53
2.961119473,2.037366237,-1.105775064,1.45
1.716869512,2.759312329,0.441070914,1.51
-0.718474269,3.490299866,0.815027689,1.56
-3.07899078,3.320883245,0.905459908,1.72
-4.396039225,3.503023043,-0.565107344,1.75
-4.134612879,1.603982271,-1.998951221,1.66
-3.728799087,2.452189207,-1.005835467,1.53
-2.775049497,2.756544902,-1.658220983,1.53
-0.046751704,3.026411486,-0.420496812,1.6
1.511794694,2.380653185,-0.291191022,1.68
4.348483701,1.484531425,-0.572364846,1.8
4.968972841,1.533208726,-0.809728148,1.81
4.685358052,2.008309573,-1.044943229,1.9
2.072656846,2.211882943,0.411739203,1.91
-0.725405102,3.480310968,2.765005087,1.94
-2.958998493,4.737073967,2.15393097,2.03
-4.39507641,5.733646281,0.17546182,2.51
-4.281505056,2.438060585,-1.518372293,2.77
-4.463390045,2.834646507,-1.671017591,2.68
-2.510265222,2.424750373,-0.577820763,2.63
0.289833196,2.770122616,-0.197155832,2.57
1.674933463,1.227817515,-0.044013191,2.55
3.926997684,2.169401163,-0.713786567,2.53
3.612241331,1.810907636,-1.318469346,2.62
6.118037893,0.919902267,-2.621435285,2.68
2.481583397,1.427183624,-0.877386745,2.67
-0.229410161,2.01954875,0.615320403,2.63
-1.382271465,2.636234909,0.039669893,2.68
-3.472707654,3.144967023,-1.457597244,2.58
-3.474181862,1.354615166,-1.480328121,2.56
-3.542210147,1.673588291,-2.753713202,2.31
-1.586071182,1.960081478,-1.78467165,2.34
-0.096121263,2.363568367,-1.426182607,2.25
1.761851543,1.970148767,-0.399555868,2.28
5.368810892,1.862372394,-0.507873171,2.33
0.909828163,3.575577023,-0.218427908,2.31
3.359786498,2.410454449,-0.423980563,2.34
1.545592964,2.523481028,0.13270229,2.44
0.3077245,2.023860178,-0.046154624,2.61
-1.850583163,2.377598532,0.496407598,2.71
-4.076219152,2.084625636,0.084036936,2.74
-4.319242494,2.586639147,-1.896618024,2.71
-3.510818571,1.496870762,-3.557190602,2.55
-2.275490493,1.222408693,-2.250926696,2.37
-1.00825012,2.193456449,-0.187719223,2.26
1.363798469,1.600949,-1.023388503,2.22
4.326632018,0.889258744,-1.793364289,2.29
5.736006927,0.78714023,-2.351512446,2.33
3.273288433,1.354387244,-1.582531634,2.39
0.555192675,2.601341858,1.707085367,2.47
-0.997052055,3.046544108,0.799952098,2.52
-2.826453732,1.533241475,-0.783517142,2.48
-3.914064716,3.03323157,-2.082395506,2.4
-4.188000554,3.155799958,-2.123989303,2.37
-3.839414199,1.887235606,-2.549489452,2.48
-2.667762206,3.295065177,-1.244560393,2.39
-0.693793644,2.164179807,0.549006399,2.42
3.039844176,2.014155207,-0.212497073,2.38
4.152479301,1.38115933,-1.926191586,2.44
4.450397766,0.750811591,-2.195457649,2.48
2.95355653,0.834422854,-1.874013935,2.58
1.305045803,1.682360126,-0.798546712,2.63
-0.154838165,2.161691199,0.059937936,2.56
-1.183568536,3.765324429,0.242866508,2.55
-3.69905474,3.852887815,-0.07943437,2.53
-4.229273793,-0.038262171,-1.406420238,2.35
-2.828128096,1.01371864,-2.434146621,2.2
-1.773180995,1.523329916,-1.455371879,2.16
-0.140843382,1.738067803,-0.506509375,2
2.057197628,0.046411817,-1.229498517,2.01
4.276191175,0.49207826,-1.294112717,2.06
4.30480474,0.777128484,-1.615936634,2.08
4.186476418,1.578978395,-1.742158677,2.05
2.730906329,1.378547787,-0.764687127,2.15
-0.438400092,3.14949406,0.918712452,2.22
-2.532070002,2.755542866,-0.031432383,2.21
-3.558662222,1.877182527,-0.081111801,2.11
-4.401256819,0.602208848,-2.083155267,2.23
-3.634285022,-0.028288222,-2.842728377,2.26
-1.639582231,2.116529032,-2.76778301,2.23
-0.332777271,2.319667017,-0.703346534,2.31
2.288318948,1.053306605,-1.324366222,2.44
3.755413425,0.879032149,-1.730974716,2.69
6.352943548,0.806138724,-2.944050553,2.71
4.409020236,2.799713816,-2.240274031,2.86
1.396229076,2.375655816,0.479493105,2.82
-0.761891967,4.004332052,1.266756602,2.75
-2.498874216,4.139475574,-0.627450724,2.67
-4.069086732,2.102860771,-0.66966401,2.71
-3.589141567,0.93189754,-2.028476977,2.31
-3.424789378,1.031433662,-2.637374206,2.17
-2.267307899,1.5817747,-2.691127431,2.18
-0.821759264,2.59961973,-0.647113788,2.03
0.664822983,2.965909839,-0.154055074,2
2.97370991,0.647869863,-2.859422429,2.17
3.857694952,1.134260066,-2.486391797,2.2
3.348365645,3.25174604,-0.938911753,2.26
1.53349334,2.890607646,-0.240292277,2.32
-0.507813195,2.939893007,1.576413397,2.43
-2.869203523,2.617391436,-0.208563923,2.47
-3.29385241,1.270597373,-0.852687089,2.61
-3.979678281,0.911333099,-0.835792317,2.74
-3.947254659,-0.894803422,-3.366084891,2.66
-1.972905977,2.164234764,-0.888869933,2.71
-0.958917819,1.610352428,0.75890064,2.86
2.595853072,1.210339475,-0.871796033,3
4.198789901,0.920712902,-0.877414292,3.09
5.386700053,0.48412777,-0.328415844,3.14
4.177609344,1.157563896,-0.195584317,3.53
3.077012632,2.202461339,1.20210028,3.73
-0.128902372,2.232192206,2.076716669,4.09
-2.394004579,0.711001958,0.742298212,4.45
-3.09149824,0.231289194,-1.733925404,4.42
-2.896082363,0.268558515,1.526145057,4.7
-3.109218987,-1.336096013,-2.224770263,4.51
-1.534388679,-1.044076367,-1.284577782,3.5
0.495370723,0.227719392,2.008347375,2.94
2.783010624,0.126547048,0.273443703,2.73
4.179146693,-0.71696388,-0.68497952,2.78
4.755000928,0.139157921,0.416757167,2.77
3.724217164,-0.914383186,-1.121739753,2.72
1.777790648,1.561833702,2.504009401,2.87
0.408152627,1.74871767,2.853955056,2.9
-1.583239983,1.034174421,3.000463582,2.8
-3.411217322,-1.090055959,-0.200403905,2.64
-3.225253529,-1.254970716,-1.039327997,2.49
-3.023946364,-1.87687248,-1.144847062,2.65
-2.094117779,-0.85847418,0.047376511,2.68
-0.243691901,0.541937605,1.011294243,2.64
2.46164323,-1.55155154,1.351710617,2.61
4.324490864,-1.849519839,-1.460129519,2.65
4.423469087,-2.074911749,-1.780782974,2.68
-0.65641133,-0.841585588,1.506225383,2.67
2.484271368,-0.62283595,1.455181422,2.65
-0.933223436,-0.010081381,1.998808496,2.49
-4.493841934,-1.59474682,2.830823803,2.4
-5.074440924,-1.446229804,2.70845087,2.39
-3.053677082,-2.269696579,-1.64204516,2.3
-2.83905394,-3.216038133,-1.514998195,2.01
-2.547432619,-2.192470871,-1.362000148,1.88
-0.316010704,-1.512305663,-1.09093757,1.99
1.371341469,-0.947344998,1.46662096,2.03
3.456137954,-1.058503819,-0.11174875,2.13
5.354849373,-1.472966549,0.154614085,2.12
3.313269042,-0.714327165,1.058515178,2.13
2.791215392,0.468376786,1.375563979,2.14
-0.707760062,-0.831542065,2.530161655,2.12
-2.32181941,-0.329299335,1.668302828,2.08
-2.988251504,-2.254895216,-0.436099934,2.08
-3.399824523,-2.001299486,-1.274751897,1.79
-2.780635475,-1.880050669,-1.589029207,1.84
-2.22037793,-0.049553526,0.152944725,1.85
-0.221352941,-0.195232226,-0.136727247,1.77
