,Unnamed: 0,STATE,YEAR,MONTH,TMP_HIGH,TMP_AVG,TMP_LOW,DP_HIGH,DP_AVG,DP_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SEALVL_HIGH,SEALVL_AVG,SEALVL_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIND_HIGH,WIND_AVG,PRECIP,NUMDAY_RAIN,NUM_DAYS_SNOW,NUM_DAYS_FOG,NUM_DAYS_THNDRSTRM,Price
0,0,IL,2001,JAN,71.62962963,54.65265541,34.01851852,63.5,49.05016509,30.7962963,98.18518519,80.97971652,44.92592593,30.39962963,30.04813545,29.60777778,10.44444444,7.646389523,0.796296296,23.38888889,6.185709786,0.671296296,4,5,3,0,1.97
1,1,IL,2001,FEB,81.37037037,56.92365749,27.55555556,68.07407407,48.77020334,17.51851852,97.75925926,75.16754421,28.98074074,30.39907407,30.07729439,27.45685185,10.44444444,8.260594472,0,26.14814815,6.729625788,1.07962963,5,5,3,2,2
2,2,IL,2001,MAR,78.98148148,54.88813977,28.59259259,65.14814815,44.41004212,17.96296296,98.44444444,70.68910587,24.25925926,30.41240741,30.05284611,29.57037037,10.44444444,8.726395093,0.111111111,27.24074074,7.065699101,0.931111111,9,2,1,2,2
3,3,IL,2001,ARP,82.53703704,55.42124279,27.11111111,67.55555556,43.50080992,17.87037037,98.72222222,67.25809916,22.7962963,30.47759259,30.04800827,29.44333333,10.44444444,9.119620588,0.407407407,32.07407407,8.908652284,1.804444444,12,1,1,9,1.86
4,4,IL,2001,MAY,79.64814815,53.92050667,26.87037037,63.55555556,42.91200322,15.33333333,97.62962963,68.93719771,23.40740741,30.39055556,30.02494593,29.46018519,11,8.800737273,0.148148148,33.64814815,8.241042173,1.573518519,19,2,3,7,1.83
5,5,IL,2001,JUN,78.48148148,52.7427581,22.46296296,64.51851852,44.10617826,15.7037037,99.27777778,73.76531465,30.68518519,30.35555556,30.03802324,29.57037037,11,8.233984548,0.037037037,30.51851852,7.494410243,1.603518519,14,5,3,5,1.95
6,6,IL,2001,JUL,91.95238095,68.72296467,42.28571429,76.61904762,59.79431644,32.23809524,99.71428571,74.91474654,32.14285714,30.2952381,30.00906144,29.75880952,11,8.03202765,0,27.0952381,6.01781874,1.845238095,10,4,2,8,1.99
7,7,IL,2001,AUG,94.14285714,73.22534562,29.57142857,78.42857143,65.10675883,26.28571429,100,75.95837174,35.14285714,30.26142857,30.01876037,29.71142857,11,7.877419355,0,25.14285714,5.075115207,3.201428571,7,0,3,5,1.94
8,8,IL,2001,SEP,89,64.07126437,36.28571429,73,53.57175698,26.28571429,96.28571429,71.87701149,26,30.38857143,30.06944828,29.63571429,11,8.610180624,0.142857143,26.28571429,6.323481116,1.488571429,6,0,3,2,1.85
9,9,IL,2001,OCT,84,53.72127761,27.28571429,65.71428571,42.29175274,19.57142857,96.14285714,68.00730971,25,30.53571429,30.05191006,29.33857143,11,8.849197521,0,33.57142857,9.025425077,2.652857143,7,0,1,2,1.91
10,10,IL,2001,NOV,73.57142857,49.76666667,24.71428571,59.85714286,39.03809524,19.57142857,96,69.65238096,24,30.49,30.11042857,29.30714286,11,8.547619048,0,38.14285714,9.090476191,1.374285714,6,0,1,1,2.06
11,11,IL,2001,DEC,66.85714286,35.12427035,7,58,28.78540707,1.285714286,96,78.05422427,36.71428571,30.37142857,30.05711521,29.63285714,11,7.895084485,0,29.14285714,9.38264209,1.374285714,5,5,4,0,1.92
12,12,IL,2002,JAN,63.53703704,33.89053681,5.351851852,52.48148148,25.42701768,-1.481481481,96.7962963,73.61698183,27.16666667,30.44814815,30.02015078,29.59685185,10.44444444,8.604437029,0.148148148,26.75925926,8.809582664,1.157037037,11,14,3,1,2.01
13,13,IL,2002,FEB,61.75925926,34.51388889,7.888888889,51.42592593,25.75132275,2.62962963,96.75925926,72.36706349,32.47740741,30.54740741,30.10122354,28.66648148,10.44444444,8.76984127,0.074074074,31.2037037,10.44444444,0.882962963,10,13,3,1,1.98
14,14,IL,2002,MAR,68.77777778,38.00485862,-0.62962963,56.07407407,29.08733572,-7.833333333,95.88888889,72.86176822,23.14814815,30.605,30.0797507,29.51759259,10.44444444,8.096734369,0,40.25925926,10.40633214,1.744444444,24,16,6,8,1.98
15,15,IL,2002,ARP,87.59259259,53.60952381,23.18518519,67.77777778,42.88950617,16.01851852,96.92592593,70.16340388,25.03703704,30.48814815,30.0546746,29.47259259,10.44444444,8.595943563,0.092592593,40.22222222,9.671516755,2.70462963,27,2,2,13,2
16,16,IL,2002,MAY,90.18518519,59.42561345,33.77777778,69.94444444,48.76614282,20.74074074,97.85185185,70.27036578,22.24074074,30.46074074,30.02676955,29.44981481,10.44444444,8.970131422,0.407407407,31.5,8.375273412,3.718148148,35,0,1,24,2.05
17,17,IL,2002,JUN,92.96296296,74.00859089,51.72222222,75.2962963,61.88340145,39.64814815,97.14814815,68.32937846,25.7962963,30.35092593,29.98961754,29.73537037,10.44444444,8.619744572,0.092592593,26.44444444,6.02642401,2.061296296,26,0,2,20,2.24
18,18,IL,2002,JUL,95.55555556,77.71445639,55.37037037,78.09259259,66.3046595,38.55555556,96.55555556,69.50776583,24.57407407,30.24666667,30.03256272,29.78,10.44444444,8.584826762,0.518518519,24.72222222,4.96176822,1.69462963,18,0,1,14,2.47
19,19,IL,2002,AUG,93.44444444,74.19892473,54.2037037,78.55555556,65.44444444,46.53703704,98.07407407,76.18817204,32.61111111,30.28444444,30.05719833,29.81037037,10.44444444,8.176224612,0.074074074,24.61111111,5.498207885,2.636296296,20,0,7,20,2.5
20,20,IL,2002,SEP,91.75925926,68.69259259,39.14814815,72.90740741,56.59074074,31.2962963,98.2962963,69.54753086,21.2037037,30.3612963,30.02323457,29.60314815,10.44444444,8.437037037,0.148148148,22.14814815,4.92037037,1.349814815,15,0,5,7,2.36
21,21,IL,2002,OCT,85.59259259,51.3864994,27.64814815,70.2037037,42.11947431,17.77777778,98.62962963,74.01911589,24.46296296,30.48074074,30.08672043,29.51277778,10.44444444,8.17562724,0,28.90740741,6.591397849,1.697592593,28,0,4,3,2.33
22,22,IL,2002,NOV,66.48148148,39.37617691,15.96296296,60.16666667,31.40610501,9.074074074,98.85185185,74.6186881,32.01851852,30.435,30.02848582,29.30759259,10.44444444,8.474664225,0.481481481,30.31481481,8.65917786,0.447407407,18,7,1,1,2.37
23,23,IL,2002,DEC,60.09259259,32.31632311,6.777777778,55.01851852,24.42330702,-0.055555556,98.37037037,74.59556431,25.35185185,30.59888889,30.04590198,29.49833333,10.44444444,7.960017853,0,31.22222222,9.214232627,1.251111111,8,12,6,2,1.96
24,24,IL,2003,JAN,57.59259259,22.62998805,-8.518518519,39.57407407,13.93158104,-17.09259259,98.51851852,69.87992832,25.90740741,30.63925926,30.16603903,29.4987037,10.44444444,8.595021904,0.074074074,27.40740741,9.344364795,0.227407407,6,26,2,0,2.37
25,25,IL,2003,FEB,53.77777778,26.14912865,-0.611111111,49.5,19.22736523,-6.203703704,98.77777778,75.63370426,28.94444444,30.57759259,30.06101801,29.33962963,10.44444444,7.71478059,0,31.48148148,9.327260702,0.753333333,8,23,6,1,2.35
26,26,IL,2003,MAR,74.92592593,41.37817887,9.555555556,58.2037037,32.47290493,-3.907407407,99.2962963,73.7880611,24.7962963,30.39481481,29.9404028,29.47222222,10.44444444,7.595195426,0,29.33333333,8.678102066,1.471666667,23,13,9,8,2.36
27,27,IL,2003,ARP,84.24074074,53.45185185,28.05555556,64.35185185,40.37839506,18.25925926,99.07407407,65.75555556,16.31481481,30.3312963,29.95403086,29.50648148,10.55555556,8.742592593,0.425925926,31.61111111,10.07592593,1.978333333,27,1,1,10,2.43
28,28,IL,2003,MAY,84.44444444,60.55177773,37.18518519,72.24074074,50.97132379,26.68518519,98.51851852,73.12322922,24.96296296,30.35351852,29.92567245,29.38333333,10.44444444,8.488433432,0.351851852,34.40740741,8.605089985,2.846666667,36,0,2,24,2.39
29,29,IL,2003,JUN,91.14814815,67.25982906,40.48148148,71.68518519,56.48876679,27.14814815,99.18518519,70.23182065,25,30.18425926,29.9463566,29.67148148,10.44444444,8.567304301,0.037037037,25.96296296,6.111396011,1.936666667,25,0,6,13,2.2
30,30,IL,2003,JUL,92.92592593,73.75240021,53.42592593,78.09259259,65.25464265,50.61111111,98.74074074,75.12779463,38.25925926,30.20314815,29.98367834,29.65981481,10.16666667,8.86139448,0.111111111,28.33333333,5.741880342,2.205,23,0,4,25,2.16
31,31,IL,2003,AUG,96.48148148,74.72520908,55.7962963,76.46296296,65.29032258,47.77777778,98.2962963,74.28315412,29.05555556,30.36537037,30.04031661,29.84907407,10.16666667,7.726403823,0,22.38888889,4.783154122,2.052962963,23,0,10,20,2.18
32,32,IL,2003,SEP,86.25925926,63.90867272,35.59259259,70.85185185,52.46234095,25.96296296,96.85185185,69.42226953,24.38888889,30.3637037,30.04763136,29.58203704,10.44444444,8.471105908,0,22.87037037,5.632287971,2.238703704,23,0,6,10,2.13
33,33,IL,2003,OCT,84.24074074,54.89482278,27.68518519,64.01851852,42.92118678,13.40740741,97.03703704,67.40923935,21.18518519,30.38796296,29.9981374,29.51537037,10.61111111,9.023576265,0,28.88888889,6.560573477,1.357407407,20,0,6,10,2.21
34,34,IL,2003,NOV,76.05555556,44.88589065,20.92592593,63.31481481,37.67178131,12.98148148,98.59259259,76.57451499,29.72222222,30.66981481,30.05897884,29.48814815,10.44444444,7.825925926,0,36.01851852,9.407760141,2.306666667,29,5,9,6,2.34
35,35,IL,2003,DEC,54.85185185,33.95974235,10.51851852,51.11111111,27.25074022,4.796296296,98.51851852,77.58695652,27.42592593,30.58518519,30.06423822,29.34814815,10.44444444,8.381876266,0.166666667,33.25925926,9.869565216,1.505555556,20,21,3,2,2.4
36,36,IL,2004,JAN,63.18518519,26.46370257,-5.37037037,59.27777778,19.34512589,-11.24074074,98.40740741,75.39833937,35.35185185,30.54777778,30.11545581,29.59314815,10.16666667,8.507832205,0.444444444,26.51851852,9.467141404,0.801296296,8,24,4,1,2.37
37,37,IL,2004,FEB,61.40740741,32.08181878,6.722222222,47.42592593,25.1919573,0.166666667,98.44444444,76.68051544,35.46296296,30.52018519,30.166851,29.36851852,9.888888889,8.246121099,0.111111111,28.75925926,9.029279235,0.333888889,9,17,3,0,2.65
