AG_DISTRICT,YEAR,MONTH,TMP_HIGH,TMP_AVG,TMP_LOW,DP_HIGH,DP_AVG,DP_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SEALVL_HIGH,SEALVL_AVG,SEALVL_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIND_HIGH,WIND_AVG,PRECIP,NUMDAY_RAIN,NUM_DAYS_SNOW,NUM_DAYS_FOG,NUM_DAYS_THNDRSTRM
central,2001,ARP,75.0,46.86344086,19.0,62.5,35.46075269,7.0,96.5,66.32956989,20.0,30.56,30.035817205,29.564999999999998,15.0,9.8553763425,0.5,24.0,8.330107528500001,0.515,14.0,10.0,3.0,3.0
central,2001,AUG,93.0,74.5483871,57.0,77.0,64.80645161,46.0,100.0,70.87096774,34.0,30.27,30.04225806,29.72,20.0,8.064516129,0.0,29.0,5.516129032,0.0,8.0,0.0,2.0,4.0
central,2001,DEC,64.0,34.19354839,6.0,59.0,28.96774194,1.0,100.0,80.41935484,36.0,30.37,30.04483871,29.63,20.0,7.709677419,0.0,26.0,9.129032257999999,0.0,6.0,9.0,7.0,0.0
central,2001,FEB,70.5,40.998271884999994,-0.5,60.5,31.22062212,-11.0,97.0,71.5,20.0,30.560000000000002,30.110040325,29.445,15.0,9.4418202765,0.0,25.0,8.34043779,0.015,7.0,8.0,2.0,4.0
central,2001,JAN,65.0,44.285923755,20.0,52.5,35.129765395,8.5,97.0,73.94648094,30.0,30.53,30.107624629999997,29.47,15.0,8.6143695015,0.5,21.0,6.8431085045,0.0,5.0,10.0,4.0,0.0
central,2001,JUL,95.0,75.96774194,50.0,81.0,65.64516129,36.0,100.0,68.61290323,28.0,30.31,30.02645161,29.69,20.0,8.806451613,0.0,18.0,5.5806451610000005,0.0,8.0,0.0,2.0,6.0
central,2001,JUN,91.0,69.96428571,48.0,73.0,57.85714286,27.0,100.0,66.0,22.0,30.34,30.0225,29.54,20.0,8.25,0.0,50.0,6.642857143,0.0,8.0,0.0,2.0,4.0
central,2001,MAR,67.0,43.19623656,18.0,55.5,31.380107529999997,4.0,97.0,65.79139785000001,19.0,30.475,30.06946774,29.44,15.0,9.7666666665,0.5,23.0,7.777956989,0.855,16.0,5.0,4.0,2.0
central,2001,MAY,89.0,63.93548387,44.0,68.0,51.70967742,23.0,100.0,64.41935484,25.0,30.34,29.94548387,29.45,20.0,10.58064516,0.0,25.0,8.129032257999999,0.0,11.0,0.0,2.0,2.0
central,2001,NOV,71.0,49.66666667,28.0,59.0,39.3,19.0,100.0,68.76666667,24.0,30.48,30.11566667,29.37,20.0,9.6,0.0,99.0,8.9,0.0,7.0,0.0,2.0,0.0
